date,zip,new_listing_count,active_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio,permit_count,permit_type
202006,77076,8,17,0,0,9,112.3926937,1452,178479,26,0.5294,110,Residential
202006,77957,4,16,0,4,6,92.00400503,2300.5,204344,22,0.375,202,Residential
202006,77486,16,65,0,20,34,121.0990946,1896.5,256932,99,0.5231,497,Residential
202006,77034,20,29,8,8,28,114.2398592,1730,207628,57,0.9655,337,Residential
202006,77531,16,66,4,12,37,138.4302417,1748,250640,103,0.5606,276,Residential
202006,77094,8,35,0,8,21,146.0637824,3489.5,532662,56,0.6,415,Residential
202006,7753,48,77,0,20,82,113.8731872,847,383357,159,1.0649,84,Residential
202006,77511,36,100,16,24,98,115.6753966,2223.5,282241,198,0.98,442,Residential
202006,77964,0,18,0,4,8,88.01624915,3100,352020,26,0.4444,161,Residential
202006,77039,8,31,0,4,13,81.56441274,1494.5,164837,44,0.4194,273,Residential
202006,7711,0,13,0,4,3,0,0,1378269,16,0.2308,275,Residential
202006,77640,16,63,0,8,3,108.2848404,1491,177357,66,0.0476,148,Residential
202006,77583,112,322,44,76,261,121.9668947,2433,309742,583,0.8106,128,Residential
202006,77703,4,13,0,0,1,53.75494071,1695,106193,14,0.0769,168,Residential
202006,77447,44,109,16,32,96,120.8511513,2465.5,369398,205,0.8807,110,Residential
202006,77656,12,53,0,4,6,92.6928616,1641.5,279759,59,0.1132,393,Residential
202006,77441,92,225,20,76,149,142.8491166,3325,505433,374,0.6622,74,Residential
202006,77023,16,58,0,12,31,194.0279919,1711,351858,89,0.5345,399,Residential
202006,77803,24,78,0,8,37,117.9975375,1540,201299,115,0.4744,268,Residential
202006,77520,24,61,0,16,38,97.89020553,1664.5,226999,99,0.623,164,Residential
202006,77550,52,212,0,48,107,184.2915066,1713,474945,319,0.5047,372,Residential
202006,77663,4,40,0,8,4,94.18416801,2193,206149,44,0.1,273,Residential
202006,77518,8,42,0,4,19,194.8931988,1736,368335,61,0.4524,375,Residential
202006,77372,8,46,0,4,27,128.2072231,1716,237264,73,0.587,267,Residential
202006,77845,176,544,4,112,308,149.4085445,2295,400397,852,0.5662,191,Residential
202006,77047,20,29,0,0,62,110.9699974,1900.5,212318,91,2.1379,490,Residential
202006,77650,56,295,8,28,53,234.5142017,1539,415353,348,0.1797,216,Residential
202006,77336,28,72,0,12,40,128.0992928,2076,386066,112,0.5556,70,Residential
202006,7755,12,49,0,8,15,0,0,944754,64,0.3061,266,Residential
202006,77072,28,56,0,12,36,96.91629956,1500.5,156905,92,0.6429,13,Residential
202006,7760,36,95,0,8,58,330.9051913,1796,1992427,153,0.6105,426,Residential
202006,77045,16,35,0,8,32,140.3003119,2067.5,293830,67,0.9143,220,Residential
202006,7718,12,19,0,8,11,190.1923077,1162,400546,30,0.5789,55,Residential
202006,77617,0,15,0,0,4,236.1143331,1600,369814,19,0.2667,446,Residential
202006,77080,64,160,8,48,80,175.6624,2063,373372,240,0.5,45,Residential
202006,7739,16,31,0,4,28,256.9751591,2546,1244670,59,0.9032,115,Residential
202006,77437,12,81,0,8,12,105.288595,1774,227933,93,0.1481,224,Residential
202006,77566,48,109,0,40,74,116.7221573,2076,278991,183,0.6789,228,Residential
202006,7730,28,33,0,4,36,0,0,401414,69,1.0909,199,Residential
202006,77302,28,83,16,24,62,120.2369333,2774.5,350682,145,0.747,408,Residential
202006,77477,20,30,0,12,18,111.8116845,2161,256710,48,0.6,271,Residential
202006,7735,40,84,0,20,76,0,0,353842,160,0.9048,451,Residential
202006,77018,92,302,4,68,141,230.7222137,2048.5,586925,443,0.4669,113,Residential
202006,77429,140,226,4,80,247,110.7768206,3081,430361,473,1.0929,325,Residential
202006,77521,76,194,12,68,182,113.5370987,2054,252966,376,0.9381,174,Residential
202006,77713,36,103,0,20,16,124.0966172,2357.5,309460,119,0.1553,289,Residential
202006,77433,200,384,28,140,442,130.4616823,2870,423753,826,1.151,144,Residential
202006,77389,108,233,4,68,135,136.3921281,3478,659433,368,0.5794,113,Residential
202006,77056,76,294,0,52,38,279.4706164,2650.5,1218303,332,0.1293,392,Residential
202006,7701,44,71,0,12,72,138.1978048,736.5,609218,143,1.0141,499,Residential
202006,77461,4,22,0,8,11,144.2979764,1979,559279,33,0.5,246,Residential
202006,77625,8,22,0,8,0,93.79310345,1866,240076,22,0,288,Residential
202006,77515,28,96,0,24,65,130.0165666,1942.5,289178,161,0.6771,41,Residential
202006,77340,40,100,4,40,44,123.6356009,2189.5,306122,144,0.44,443,Residential
202006,77802,36,128,0,32,70,130.0618048,1940,294125,198,0.5469,115,Residential
202006,77356,132,363,12,104,207,135.5052825,2463.5,456995,570,0.5702,172,Residential
202006,77015,20,48,0,12,41,97.37135036,1660.5,184875,89,0.8542,312,Residential
202006,7726,116,145,0,36,128,173.9556147,1695.5,874292,273,0.8828,310,Residential
202006,77407,92,246,16,60,215,125.383828,2756,357173,461,0.874,211,Residential
202006,7747,68,88,12,28,94,175.3289437,1468,425923,182,1.0682,254,Residential
202006,77012,0,13,0,0,4,150.0290549,1385,197229,17,0.3077,276,Residential
202006,77651,28,49,0,16,15,117.7579556,2024,256352,64,0.3061,27,Residential
202006,7738,16,27,12,4,34,239.9165659,3246,923879,61,1.2593,314,Residential
202006,77856,4,29,0,0,12,215.0974026,1653.5,402576,41,0.4138,67,Residential
202006,77090,24,47,4,12,46,82.09671252,2727.5,233563,93,0.9787,25,Residential
202006,77091,16,84,4,16,40,136.5606556,1629,237441,124,0.4762,260,Residential
202006,77360,12,63,0,8,16,157.5,1608,317864,79,0.254,29,Residential
202006,77554,76,280,0,48,221,262.9642506,1759.5,562131,501,0.7893,54,Residential
202006,77879,8,26,0,0,18,136.6590335,1391.5,861676,44,0.6923,299,Residential
202006,7716,20,29,0,8,28,0,0,830619,57,0.9655,68,Residential
202006,77331,12,60,0,12,25,135.9503401,1920,380526,85,0.4167,240,Residential
202006,77381,76,136,0,52,87,160.1315802,3316.5,745250,223,0.6397,327,Residential
202006,77586,32,94,0,28,68,133.8414191,2657,472518,162,0.7234,338,Residential
202006,77382,104,223,0,72,136,163.1592552,3834.5,1070318,359,0.6099,134,Residential
202006,77054,40,107,0,16,63,155.3899236,1140,205250,170,0.5888,391,Residential
202006,77657,36,109,0,16,7,131.8231761,2409,339382,116,0.0642,152,Residential
202006,77868,12,88,0,8,39,118.3588933,2000,320329,127,0.4432,36,Residential
202006,77546,68,138,0,44,122,134.4579009,3074,463587,260,0.8841,330,Residential
202006,77478,28,99,0,32,31,132.0901909,2929.5,543080,130,0.3131,263,Residential
202006,77904,32,106,0,36,52,138.9223789,2243,356166,158,0.4906,39,Residential
202006,77534,4,15,0,4,10,131.2440478,1841.5,287147,25,0.6667,2,Residential
202006,77871,16,38,0,4,9,103.4751974,1911,219605,47,0.2368,282,Residential
202006,77044,64,158,4,52,159,103.2303584,2805.5,322329,317,1.0063,83,Residential
202006,77471,32,94,4,24,90,105.0473507,2443.5,273495,184,0.9574,61,Residential
202006,7731,68,108,4,16,106,125.7967607,1109,429818,214,0.9815,52,Residential
202006,77571,64,97,4,24,101,117.2643645,2021.5,326991,198,1.0412,401,Residential
202006,77380,56,158,0,40,60,192.482648,3203.5,864118,218,0.3797,423,Residential
202006,77084,80,134,8,32,173,100.0876126,2249.5,235095,307,1.291,195,Residential
202006,77632,48,99,0,16,5,102.6707887,2261,253633,104,0.0505,258,Residential
202006,77505,16,36,0,12,40,112.2773044,2556,309675,76,1.1111,482,Residential
202006,77535,40,107,4,44,60,125.0207411,2191.5,285831,167,0.5607,27,Residential
202006,77611,20,61,0,28,8,107.0614035,2114,252422,69,0.1311,29,Residential
202006,77075,12,39,0,4,37,112.418936,1952,241058,76,0.9487,356,Residential
202006,77664,0,20,0,0,2,99.26131117,2211,759763,22,0.1,55,Residential
202006,77028,12,36,0,8,24,116.969697,1324,179419,60,0.6667,406,Residential
202006,7719,32,76,0,20,75,98.55263158,519.5,841886,151,0.9868,270,Residential
202006,77063,36,160,0,44,39,156.5622918,1989,469932,199,0.2438,245,Residential
202006,77058,24,62,0,24,33,119.8040016,2127.5,263905,95,0.5323,136,Residential
202006,77379,116,261,4,104,250,104.1362863,3141.5,372520,511,0.9579,214,Residential
202006,7756,8,13,0,0,20,0,0,610364,33,1.5385,200,Residential
202006,77033,24,51,0,4,30,108.7094039,1326.5,154711,81,0.5882,8,Residential
202006,77096,68,195,0,76,68,172.7646356,2323.5,447947,263,0.3487,61,Residential
202006,7751,44,67,4,16,61,209.7099335,1676,631425,128,0.9104,440,Residential
202006,7732,16,23,0,4,22,0,0,948202,45,0.9565,68,Residential
202006,77355,60,128,12,48,87,137.6908007,2708.5,581046,215,0.6797,254,Residential
202006,77025,64,190,0,52,48,210.005753,2365,677224,238,0.2526,94,Residential
202006,7720,4,15,0,0,15,327.3067332,1456,799786,30,1,343,Residential
202006,77465,12,81,0,4,13,139.5271788,1429,252559,94,0.1605,127,Residential
202006,77378,24,55,0,24,29,125.1186103,1824,278403,84,0.5273,441,Residential
202006,77514,8,59,0,4,18,129.413171,1813.5,283450,77,0.3051,203,Residential
202006,77006,68,151,0,32,67,240.4819803,2537,732494,218,0.4437,212,Residential
202006,77705,32,75,0,12,13,103.1229485,1684.5,183537,88,0.1733,240,Residential
202006,77062,32,42,0,16,52,124.5892524,2483,315768,94,1.2381,437,Residential
202006,77049,24,37,0,8,48,101.369863,2021.5,227108,85,1.2973,286,Residential
202006,77083,40,76,4,16,81,101.8318966,2138,228444,157,1.0658,466,Residential
202006,77532,52,120,0,40,107,107.7465813,2230.5,307656,227,0.8917,318,Residential
202006,77979,16,61,0,8,18,133.0952381,1819.5,297643,79,0.2951,179,Residential
202006,77435,4,20,0,0,8,141.0867548,2251,293771,28,0.4,481,Residential
202006,77064,28,37,0,12,56,101.1182109,2332,242625,93,1.5135,97,Residential
202006,77074,24,51,0,20,28,128.6856575,1615,227965,79,0.549,12,Residential
202006,77493,176,346,64,112,329,127.0000987,2628,357901,675,0.9509,58,Residential
202006,77354,88,201,8,56,151,137.8905959,2670,453517,352,0.7512,370,Residential
202006,77078,4,16,0,0,9,103.8169245,1104,138709,25,0.5625,433,Residential
202006,77019,72,255,0,48,65,287.3440656,2999.5,1637008,320,0.2549,451,Residential
202006,77060,4,14,0,0,10,104.5816733,1616.5,188103,24,0.7143,379,Residential
202006,77384,64,143,4,28,95,134.6957973,2897,454230,238,0.6643,18,Residential
202006,77702,12,19,0,0,3,73.8050958,1867.5,232129,22,0.1579,4,Residential
202006,77046,0,15,0,4,2,229.0448343,1391,415126,17,0.1333,271,Residential
202006,77581,52,89,8,28,107,119.6727912,2461,340786,196,1.2022,326,Residential
202006,77077,104,253,4,80,102,146.9078067,2573.5,442400,355,0.4032,439,Residential
202006,77708,12,33,0,8,4,84.83285039,1777,185441,37,0.1212,210,Residential
202006,77808,32,101,0,28,51,158.528252,2378,410895,152,0.505,154,Residential
202006,77568,36,170,16,28,97,118.8758853,1996.5,243997,267,0.5706,444,Commercial
202006,77373,100,134,0,36,163,95.05919832,1947,205043,297,1.2164,482,Commercial
202006,77578,44,159,28,68,89,129.9958935,2794,373881,248,0.5597,17,Commercial
202006,77474,20,54,0,4,24,146.5605881,2002.5,418191,78,0.4444,365,Commercial
202006,77619,32,55,0,12,12,106.9456328,1495,180768,67,0.2182,417,Commercial
202006,77545,12,29,0,0,50,93.90503189,2431,255722,79,1.7241,62,Commercial
202006,77457,4,43,0,4,4,211.8794326,1300,312886,47,0.093,3,Commercial
202006,77027,48,187,0,36,35,398.8237827,2777,1471626,222,0.1872,368,Commercial
202006,77489,20,35,0,4,59,101.6346449,1851,190580,94,1.6857,205,Commercial
202006,7734,20,44,0,8,49,0,0,244201,93,1.1136,127,Commercial
202006,77480,8,38,0,8,12,134.352075,1821,307669,50,0.3158,390,Commercial
202006,77954,8,21,0,4,12,91.71195652,1930,232599,33,0.5714,352,Commercial
202006,7712,76,167,0,32,99,217.1456047,1021,720969,266,0.5928,58,Commercial
202006,77079,84,212,0,64,81,174.7990065,2941,659510,293,0.3821,350,Commercial
202006,77069,48,97,0,32,69,102.358335,2966.5,399916,166,0.7113,489,Commercial
202006,77081,12,30,0,4,7,180.1587302,2189.5,440939,37,0.2333,236,Commercial
202006,77021,36,97,0,28,38,154.6501981,1764,360323,135,0.3918,222,Commercial
202006,77836,16,32,0,0,18,147.4530831,2144,423389,50,0.5625,25,Commercial
202006,77086,12,15,0,0,18,112.3301963,1685,229457,33,1.2,463,Commercial
202006,77630,56,130,0,20,10,83.71867832,2036,221159,140,0.0769,161,Commercial
202006,77073,32,54,0,16,61,93.60171949,2090.5,197365,115,1.1296,191,Commercial
202006,77575,8,23,0,4,16,96.48512198,2198,236860,39,0.6957,243,Commercial
202006,77098,36,121,0,24,22,297.2688598,2703,1009436,143,0.1818,127,Commercial
202006,77612,8,25,0,8,7,99.32515118,2280,243610,32,0.28,189,Commercial
202006,77008,180,373,8,120,199,222.6462809,2427,632012,572,0.5335,418,Commercial
202006,77662,80,165,0,44,18,98.45070423,1783,170870,183,0.1091,277,Commercial
202006,77539,72,164,8,36,136,123.5927489,1975,294695,300,0.8293,322,Commercial
202006,77095,76,98,4,36,139,101.835126,2689.5,285799,237,1.4184,126,Commercial
202006,77041,36,71,0,24,57,127.5975915,3174.5,410373,128,0.8028,185,Commercial
202006,77011,8,33,0,8,12,166.4363773,1743.5,293681,45,0.3636,376,Commercial
202006,77036,20,77,0,16,20,94.82802611,1234,151395,97,0.2597,77,Commercial
202006,77040,24,39,0,12,41,111.4359098,2460,275837,80,1.0513,484,Commercial
202006,77327,20,137,12,16,40,116.4622303,1671,224534,177,0.292,355,Commercial
202006,77071,20,49,4,24,33,86.44392659,2059,186096,82,0.6735,359,Commercial
202006,77659,12,32,0,8,5,128.7658036,1900,255411,37,0.1563,278,Commercial
202006,7722,32,75,0,8,38,238.9722561,3670,1531224,113,0.5067,218,Commercial
202006,77565,8,49,0,12,28,196.2581243,2752,744145,77,0.5714,141,Commercial
202006,77375,136,257,12,80,189,127.8546379,2588,418782,446,0.7354,373,Commercial
202006,77563,12,46,0,20,42,179.1427097,1864,438320,88,0.913,377,Commercial
202006,7762,16,62,0,8,26,289.8349831,1490.5,2721868,88,0.4194,386,Commercial
202006,77401,40,193,0,52,35,281.0852639,3855,1061206,228,0.1813,77,Commercial
202006,7723,8,17,0,0,0,0,0,1695162,17,0,380,Commercial
202006,77088,28,84,0,16,42,108.6208104,1569,177243,126,0.5,42,Commercial
202006,77840,48,240,0,28,65,127.511592,1491,241229,305,0.2708,30,Commercial
202006,77504,16,26,0,4,23,106.6322089,1785.5,221020,49,0.8846,219,Commercial
202006,77449,128,133,16,28,256,104.0252498,2054,217087,389,1.9248,4,Commercial
202006,77459,184,379,8,136,288,123.415873,3050,427505,667,0.7599,377,Commercial
202006,77365,96,213,32,64,160,118.7664609,2605.5,328294,373,0.7512,34,Commercial
202006,77598,16,30,0,8,23,114.6472288,1654,251314,53,0.7667,234,Commercial
202006,77043,56,161,0,60,43,171.0895281,2210.5,378782,204,0.2671,301,Commercial
202006,77503,20,19,0,4,25,109.2595176,1505.5,182632,44,1.3158,429,Commercial
202006,77338,48,80,4,20,90,102.3162575,1914,209585,170,1.125,462,Commercial
202006,77089,48,91,16,36,86,110.7088812,2244.5,263476,177,0.9451,323,Commercial
202006,77861,4,17,0,4,13,175.0250752,2242,415789,30,0.7647,83,Commercial
202006,77005,64,166,0,52,61,391.7757156,3753,1651497,227,0.3675,303,Commercial
202006,7750,8,33,0,8,10,0,0,1115741,43,0.303,179,Commercial
202006,77573,156,263,20,112,262,127.7723412,2845.5,393826,525,0.9962,80,Commercial
202006,77042,60,156,0,48,62,145.1900013,2243,548976,218,0.3974,50,Commercial
202006,77562,8,13,0,0,15,109.4230769,1734,213696,28,1.1538,304,Commercial
202006,77316,100,277,16,80,161,139.0028991,2495.5,467329,438,0.5812,266,Commercial
202006,77406,128,275,24,76,313,125.2312196,2920.5,445989,588,1.1382,170,Commercial
202006,77346,220,390,52,132,305,114.5760445,2586,361875,695,0.7821,253,Commercial
202006,77304,112,265,20,84,188,129.3599319,2518.5,381500,453,0.7094,69,Commercial
202006,77093,8,33,0,8,9,130.2083333,1300,222590,42,0.2727,425,Commercial
202006,77396,68,129,4,32,119,109.6170812,2620.5,334337,248,0.9225,115,Commercial
202006,77551,48,149,0,24,59,201.6894754,931,263913,208,0.396,194,Commercial
202006,77494,308,525,12,212,408,123.1601806,3307.5,452918,933,0.7771,370,Commercial
202006,77517,4,18,0,4,16,160.0440919,2125,359588,34,0.8889,243,Commercial
202006,77026,16,40,0,12,16,128.8836319,1389,188952,56,0.4,204,Commercial
202006,77905,12,36,0,12,23,143.6767557,2007.5,355823,59,0.6389,197,Commercial
202006,77099,20,45,0,8,32,90.76164167,1703,149420,77,0.7111,236,Commercial
202006,77351,52,178,0,24,66,129.5738602,1769.5,320811,244,0.3708,292,Commercial
202006,77357,68,142,16,44,87,112.7503466,2294,285532,229,0.6127,435,Commercial
202006,77017,8,20,0,8,15,114.1672469,1728,210008,35,0.75,455,Commercial
202006,77051,12,54,0,8,34,119.2748092,1509.5,192139,88,0.6296,146,Commercial
202006,77055,108,348,4,100,90,231.666276,2551.5,683515,438,0.2586,168,Commercial
202006,77003,40,120,0,16,41,197.8004212,1963,379129,161,0.3417,173,Commercial
202006,77995,4,27,0,0,12,98.61177352,2103.5,359262,39,0.4444,432,Commercial
202006,77523,48,114,12,76,106,128.1892666,2554,355310,220,0.9298,247,Commercial
202006,77339,68,143,4,52,131,106.0096693,2527.5,354004,274,0.9161,328,Commercial
202006,77016,28,46,0,12,26,116.8503863,1422,164968,72,0.5652,9,Commercial
202006,77082,36,150,0,36,45,133.9808362,3054.5,592694,195,0.3,485,Commercial
202006,77022,8,90,0,16,39,186.4862821,1541,290125,129,0.4333,11,Commercial
202006,77963,0,17,0,4,6,186.4925223,2146.5,614914,23,0.3529,181,Commercial
202006,7733,60,109,0,28,53,215.8903357,2629.5,881531,162,0.4862,71,Commercial
202006,77032,4,16,0,4,2,58.79059351,1622,120116,18,0.125,469,Commercial
202006,77386,148,262,12,88,255,130.5242951,2881.5,455416,517,0.9733,379,Commercial
202006,77048,48,43,12,4,45,120.8418689,1623,218567,88,1.0465,279,Commercial
202006,77007,192,438,0,116,157,210.4573726,2438,667553,595,0.3584,119,Commercial
202006,77301,24,78,4,16,60,115.4975323,2034,256093,138,0.7692,230,Commercial
202006,77706,92,213,0,32,20,107.1155318,2690,391995,233,0.0939,156,Commercial
202006,77701,4,15,0,0,2,56.60724325,2392.5,160855,17,0.1333,83,Commercial
202006,77004,84,214,4,36,71,192.4771386,2126,440429,285,0.3318,321,Commercial
202006,77320,20,75,4,16,37,129.2106667,1568,238721,112,0.4933,109,Commercial
202006,77833,20,80,0,20,58,137.6403095,2084,375427,138,0.725,373,Commercial
202006,77030,32,92,0,24,25,216.3336255,1849,634738,117,0.2717,422,Commercial
202006,77328,8,23,0,8,17,111.8819444,1876,209876,40,0.7391,336,Commercial
202006,7757,24,42,0,4,23,273.8775236,2624,992047,65,0.5476,201,Commercial
202006,7728,116,164,0,40,154,186.7178419,1384.5,535759,318,0.939,12,Commercial
202006,77584,124,236,16,112,188,116.55307,2662.5,332693,424,0.7966,106,Commercial
202006,77318,44,152,24,48,86,132.1397284,2314,373204,238,0.5658,168,Commercial
202006,77707,36,100,0,24,12,94.42765265,1730,199885,112,0.12,274,Commercial
202006,77035,60,133,0,56,52,145.4283037,1883.5,267970,185,0.391,358,Commercial
202006,7746,32,44,0,4,53,190.1074845,2453,728753,97,1.2045,379,Commercial
202006,77498,52,109,4,24,73,114.9064861,2585.5,346909,182,0.6697,206,Commercial
202006,7740,36,131,0,12,75,294.6063509,1384,1201431,206,0.5725,106,Commercial
202006,77801,8,45,0,0,17,128.1949828,1590,251108,62,0.3778,428,Commercial
202006,77422,8,51,0,4,24,132.2766416,1721.5,274154,75,0.4706,30,Commercial
202006,77388,68,92,4,28,103,100.344182,2623.5,292981,195,1.1196,205,Commercial
202006,77642,20,55,0,8,8,85.03503504,1998,206568,63,0.1455,293,Commercial
202006,77536,48,53,0,20,56,120.6015567,2058,272007,109,1.0566,119,Commercial
202006,77070,48,78,8,20,96,103.8062284,2576,310006,174,1.2308,30,Commercial
202006,77306,8,24,4,0,19,126.5822785,1703,230044,43,0.7917,413,Commercial
202006,77665,8,17,0,8,9,101.342981,1892,213432,26,0.5294,84,Commercial
202006,77303,28,73,4,16,46,139.4665688,2121,290331,119,0.6301,369,Commercial
202006,77627,52,106,0,40,21,115.5371671,1960,241879,127,0.1981,232,Commercial
202006,77377,116,164,16,68,143,127.708802,2742,450722,307,0.872,124,Commercial
202006,77066,36,44,4,16,54,92.71037182,2365,235164,98,1.2273,458,Commercial
202006,77590,28,49,0,16,49,114.5217151,1861,225933,98,1,381,Commercial
202006,77014,24,29,0,4,26,96.83023893,2170,213725,55,0.8966,251,Commercial
202006,77541,24,131,0,28,66,184.6907332,1418,274234,197,0.5038,72,Commercial
202006,77345,64,127,0,52,104,107.8068581,2981.5,350638,231,0.8189,192,Commercial
202006,77901,28,68,0,24,46,105.2631579,1670,192461,114,0.6765,181,Commercial
202006,77418,4,39,0,8,12,145.3698971,2217,364664,51,0.3077,121,Commercial
202006,77591,16,73,8,12,37,120.6620395,1900,218380,110,0.5068,435,Commercial
202006,77029,8,30,0,4,10,114.2191142,1300,154530,40,0.3333,445,Commercial
202006,77479,168,410,0,128,199,135.1463433,3437,587841,609,0.4854,335,Commercial
202006,77445,8,59,0,12,25,129.666376,2285,338091,84,0.4237,281,Commercial
202006,77506,4,14,0,4,16,127.0382329,1370,175375,30,1.1429,9,Commercial
202006,77450,112,178,4,68,162,117.6236497,3003.5,415607,340,0.9101,63,Commercial
202006,77484,12,42,0,16,18,163.6740331,2406,493529,60,0.4286,427,Commercial
202005,7723,0,14,0,0,0,0,0,1478470,14,0,484,Commercial
202005,77032,4,14,0,0,2,60.74168798,1564,112048,16,0.1429,116,Commercial
202005,77302,32,95,8,20,50,116.9215134,2783,344457,145,0.5263,500,Commercial
202005,7747,64,99,0,12,56,155.5343511,950,416232,155,0.5657,108,Commercial
202005,77396,64,148,8,28,100,110.4477612,2465,317523,248,0.6757,271,Commercial
202005,77514,12,61,0,4,19,131.0551225,1796,270638,80,0.3115,275,Commercial
202005,77520,20,63,0,16,34,98.45105328,1665,224647,97,0.5397,11,Commercial
202005,77539,72,175,8,48,133,124.6458924,1981,297827,308,0.76,359,Commercial
202005,77521,88,192,12,44,138,113.6363636,2047,253920,330,0.7188,464,Commercial
202005,77541,32,159,0,28,47,196.875,1312,273057,206,0.2956,157,Commercial
202005,77047,20,40,0,12,45,107.6388889,1652,198670,85,1.125,360,Commercial
202005,77954,4,27,0,8,7,94.88135593,1701,195098,34,0.2593,193,Commercial
202005,77021,36,100,0,20,28,151.9119958,1730,343883,128,0.28,188,Commercial
202005,77713,36,105,0,16,12,119.0114068,2250,297604,117,0.1143,189,Commercial
202005,77461,8,28,0,12,13,136.2911796,2108,518469,41,0.4643,189,Commercial
202005,7724,36,80,0,16,53,195.6035768,1925,529685,133,0.6625,494,Commercial
202005,77077,84,269,0,80,67,145.1612903,2508,428112,336,0.2491,281,Commercial
202005,7762,24,64,0,8,23,266.3333333,1513,2641171,87,0.3594,344,Commercial
202005,77531,24,68,4,24,26,137.3976734,1790,253533,94,0.3824,187,Commercial
202005,7731,44,110,0,24,83,137.5,1360,455753,193,0.7545,487,Commercial
202005,77016,16,42,0,12,20,109.2891761,1344,157785,62,0.4762,226,Commercial
202005,77554,124,414,4,48,120,258.1955923,1717,516292,534,0.2899,295,Commercial
202005,77027,40,186,0,16,26,390.2209685,2680,1431206,212,0.1398,213,Commercial
202005,77340,20,101,0,20,31,124.6712018,2189,307373,132,0.3069,24,Commercial
202005,77040,28,45,0,20,35,109.6922069,2463,269302,80,0.7778,18,Commercial
202005,77351,48,189,0,40,41,129.5091662,1735,322657,230,0.2169,473,Commercial
202005,77568,60,184,28,32,71,117.9919332,2008,243696,255,0.3859,239,Commercial
202005,77024,92,365,0,84,55,305.6587284,3796,1773076,420,0.1507,188,Commercial
202005,77375,120,263,16,76,146,127.8195489,2636,424682,409,0.5551,76,Commercial
202005,77068,12,45,0,12,24,94.22492401,3406,373651,69,0.5333,188,Commercial
202005,77034,16,28,0,8,23,113.8968481,1619,199661,51,0.8214,194,Commercial
202005,77484,12,44,0,12,12,160.7142857,2541,485357,56,0.2727,327,
202005,77665,8,21,0,4,7,112.4054772,1866,238728,28,0.3333,136,
202005,77076,8,23,0,4,6,114.6629604,1439,180373,29,0.2609,289,
202005,77563,16,60,0,16,29,201.3888889,1709,428382,89,0.4833,360,
202005,77063,44,174,0,36,17,155.4787759,2009,465529,191,0.0977,90,
202005,77493,156,368,44,120,274,126.9494774,2663,360465,642,0.7446,379,
202005,77042,44,169,0,48,59,138.427405,2298,543026,228,0.3491,62,
202005,77845,188,609,8,124,255,147.2382956,2316,405974,864,0.4187,303,
