zip_code,land_use,count,date,permit_type
77447,General Plan,1,1/23/2020,Other
77447,Unrestricted,1,1/23/2020,Unrestricted
77447,General Plan,1,1/23/2020,Other
77029,Unrestricted,1,1/23/2020,Unrestricted
77054,Single Family Residential (Public Street),1,1/23/2020,Residential
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77532,Single Family Residential (Public Street),1,1/23/2020,Residential
77532,Single Family Residential (Public Street),1,1/23/2020,Residential
77449,"Water Treatment, Production or Repressurization",1,1/23/2020,Other
77084,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020,Residential
77530,Unrestricted,1,1/23/2020,Unrestricted
77048,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,1/23/2020,Residential
77077,Unrestricted,1,1/23/2020,Unrestricted
77406,Unrestricted,1,1/23/2020,Unrestricted
77494,Unrestricted,1,1/23/2020,Unrestricted
77532,Street Dedication,1,1/23/2020,Other
77365,Unrestricted,1,1/23/2020,Unrestricted
77073,Single Family Residential (Public Street),1,1/23/2020,Residential
77406,Unrestricted,1,1/23/2020,Unrestricted
77377,"Church, School and Institutional",1,1/23/2020,Other
77051,Unrestricted,1,1/23/2020,Unrestricted
77051,Unrestricted,1,1/23/2020,Unrestricted
77006,Commercial,1,1/23/2020,Commercial
77009,Commercial,1,1/23/2020,Commercial
77021,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020,Residential
77033,Single Family Residential (Public Street),1,1/23/2020,Residential
77365,Unrestricted,1,1/23/2020,Unrestricted
77082,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77051,Single Family Residential (Public Street),1,1/23/2020,Residential
77009,Single Family Residential (Public Street),1,1/23/2020,Residential
77004,Single Family Residential (Public Street),1,1/23/2020,Residential
77003,Unrestricted Intended for Multifamily,1,1/23/2020,Unrestricted
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,1/23/2020,Residential
77048,Single Family Residential (Public Street),1,1/23/2020,Residential
77051,Single Family Residential (Public Street),1,1/23/2020,Residential
77076,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,1/23/2020,Residential
77449,General Plan,1,1/23/2020,Other
77449,Landscape or Open Space; Single Family Residential (Public Street); Other,1,1/23/2020,Residential
77357,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77357,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77346,Landscape or Open Space; Street Dedication,1,1/23/2020,Other
77021,Single Family Residential (Public Street),1,1/23/2020,Residential
77429,Unrestricted; Landscape or Open Space; Lift Station,1,1/23/2020,Unrestricted
77433,Landscape or Open Space; Street Dedication,1,1/23/2020,Other
77449,General Plan,1,1/23/2020,Other
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77447,Street Dedication,1,1/23/2020,Other
77022,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020,Residential
77407,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77044,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77002,Unrestricted,1,12/19/2019,Unrestricted
77433,Compensating Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77377,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77377,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77377,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,12/19/2019,Residential
77346,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77091,Unrestricted,1,12/19/2019,Unrestricted
77091,Unrestricted; Drainage or Detention; Single Family Residential (Public Street),1,12/19/2019,Residential
77085,General Plan,1,12/19/2019,Other
77085,Unrestricted,1,12/19/2019,Unrestricted
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77020,Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77047,Compensating Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77027,Unrestricted,1,12/19/2019,Unrestricted
77433,Single Family Residential (Public Street),1,12/19/2019,Residential
77433,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77433,Single Family Residential (Public Street),1,12/19/2019,Residential
77003,Unrestricted,1,12/19/2019,Unrestricted
77365,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street); Other,1,12/19/2019,Residential
77007,Single Family Residential (Public Street),1,12/19/2019,Residential
77049,Commercial,1,12/19/2019,Commercial
77494,Unrestricted,1,12/19/2019,Unrestricted
77069,Unrestricted,1,12/19/2019,Unrestricted
77085,Other,1,12/19/2019,Other
77020,Single Family Residential (Public Street),1,12/19/2019,Residential
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77049,Unrestricted,1,12/19/2019,Unrestricted
77377,Street Dedication,1,12/19/2019,Other
77433,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77016,Compensating Open Space; Other,1,12/19/2019,Other
77087,Unrestricted,1,12/19/2019,Unrestricted
77006,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77090,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77357,"Church, School and Institutional",1,12/19/2019,Other
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77006,Unrestricted,1,12/19/2019,Unrestricted
77045,Unrestricted,1,12/19/2019,Unrestricted
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77050,Unrestricted; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77055,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77037,Commercial,1,12/19/2019,Commercial
77021,Unrestricted,1,12/19/2019,Unrestricted
77075,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77021,Single Family Residential (Public Street),1,12/19/2019,Residential
77449,Unrestricted,1,12/19/2019,Unrestricted
77009,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77093,Unrestricted,1,12/19/2019,Unrestricted
77044,Unrestricted,1,12/19/2019,Unrestricted
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77346,General Plan,1,12/19/2019,Other
77406,Unrestricted,1,12/19/2019,Unrestricted
77449,Unrestricted,1,12/19/2019,Unrestricted
77048,Other,1,12/19/2019,Other
77087,Unrestricted; Single Family Residential (Public Street),1,12/19/2019,Residential
77389,"Drainage or Detention; Landscape or Open Space; Lift Station; Recreation; Water Treatment, Production or Repressurization",1,12/19/2019,Other
77008,Commercial,1,12/19/2019,Commercial
77012,Commercial,1,12/19/2019,Commercial
77494,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Commercial,1,12/19/2019,Commercial
77493,General Plan,1,12/19/2019,Other
77075,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77375,"Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,12/19/2019,Residential
77375,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77375,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77375,Single Family Residential (Public Street),1,12/19/2019,Residential
77449,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77449,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Commercial,1,12/19/2019,Commercial
77026,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77377,Single Family Residential (Public Street),1,12/19/2019,Residential
77004,Commercial,1,12/19/2019,Commercial
77022,Single Family Residential (Public Street),1,12/19/2019,Residential
77433,General Plan,1,12/19/2019,Other
77020,Unrestricted,1,12/19/2019,Unrestricted
77087,General Plan,1,12/19/2019,Other
77021,Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77020,Single Family Residential (Public Street),1,12/19/2019,Residential
77049,Unrestricted,1,12/19/2019,Unrestricted
77338,General Plan,1,12/19/2019,Other
77018,Single Family Residential (Public Street),1,12/19/2019,Residential
77004,Single Family Residential (Public Street),1,12/19/2019,Residential
77048,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,12/19/2019,Residential
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77055,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77494,Unrestricted,1,12/19/2019,Unrestricted
77365,Unrestricted,1,12/19/2019,Unrestricted
77365,Unrestricted,1,12/19/2019,Unrestricted
77085,Single Family Residential (Public Street),1,12/19/2019,Residential
77447,Unrestricted; Drainage or Detention,1,12/19/2019,Unrestricted
77447,Commercial; Drainage or Detention,1,12/19/2019,Commercial
77447,Drainage or Detention,1,12/19/2019,Other
77447,Drainage or Detention,1,12/19/2019,Other
77447,Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77545,Unrestricted,1,12/19/2019,Unrestricted
77053,Unrestricted,1,12/19/2019,Unrestricted
77021,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77021,Unrestricted,1,12/19/2019,Unrestricted
77099,Unrestricted,1,12/19/2019,Unrestricted
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77091,Single Family Residential (Public Street),1,12/19/2019,Residential
77051,Single Family Residential (Public Street),1,12/19/2019,Residential
77043,Drainage or Detention; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77429,Unrestricted,1,12/19/2019,Unrestricted
77017,Unrestricted,1,12/19/2019,Unrestricted
77005,Single Family Residential (Public Street),1,12/19/2019,Residential
77030,Unrestricted,1,12/19/2019,Unrestricted
77389,Unrestricted,1,12/19/2019,Unrestricted
77076,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77336,Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Single Family Residential (Public Street),1,12/19/2019,Residential
77379,Unrestricted,1,12/19/2019,Unrestricted
77339,Unrestricted,1,12/19/2019,Unrestricted
77048,Unrestricted,1,12/19/2019,Unrestricted
77493,Single Family Residential (Public Street),1,12/19/2019,Residential
77375,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77449,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77004,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77447,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77447,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Single Family Residential (Public Street),1,12/19/2019,Residential
77433,Landscape or Open Space; Street Dedication,1,12/19/2019,Other
77433,Street Dedication,1,12/19/2019,Other
77493,Compensating Open Space; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,12/19/2019,Residential
77493,Single Family Residential (Public Street),1,12/19/2019,Residential
77043,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77027,Unrestricted,1,2/20/2020,Unrestricted
77026,Unrestricted,1,2/20/2020,Unrestricted
77099,"Church, School and Institutional",1,2/20/2020,Other
77047,Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77377,General Plan,1,2/20/2020,Other
77007,Single Family Residential (Public Street),1,2/20/2020,Residential
77066,Recreation,1,2/20/2020,Other
77433,General Plan,1,2/20/2020,Other
77022,Single Family Residential (Public Street),1,2/20/2020,Residential
77024,Single Family Residential (Public Street),1,2/20/2020,Residential
77098,Single Family Residential (Public Street),1,2/20/2020,Residential
77373,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,2/20/2020,Residential
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77433,Street Dedication,1,2/20/2020,Other
77056,Unrestricted,1,2/20/2020,Unrestricted
77051,Single Family Residential (Public Street),1,2/20/2020,Residential
77090,Unrestricted,1,2/20/2020,Unrestricted
77018,Commercial,1,2/20/2020,Commercial
77377,Street Dedication,1,2/20/2020,Other
77020,Single Family Residential (Public Street),1,2/20/2020,Residential
77066,Single Family Residential (Public Street),1,2/20/2020,Residential
77062,Unrestricted,1,2/20/2020,Unrestricted
77004,Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77033,Commercial,1,2/20/2020,Commercial
77076,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77389,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77055,Single Family Residential (Public Street),1,2/20/2020,Residential
77068,Single Family Residential (Public Street),1,2/20/2020,Residential
77069,"Church, School and Institutional",1,2/20/2020,Other
77377,Drainage or Detention; Landscape or Open Space; Street Dedication; Other,1,2/20/2020,Other
77073,"Unrestricted; Water Treatment, Production or Repressurization",1,2/20/2020,Unrestricted
77004,Single Family Residential (Public Street),1,2/20/2020,Residential
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77493,Compensating Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77091,Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77065,Single Family Residential (Public Street),1,2/20/2020,Residential
77087,Unrestricted,1,2/20/2020,Unrestricted
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,2/20/2020,Residential
77034,Other,1,2/20/2020,Other
77079,Single Family Residential (Public Street),1,2/20/2020,Residential
77018,Single Family Residential (Public Street),1,2/20/2020,Residential
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77380,Unrestricted,1,2/20/2020,Unrestricted
77396,Unrestricted; Unrestricted Intended for Multifamily; Lift Station,1,2/20/2020,Unrestricted
77433,"Water Treatment, Production or Repressurization",1,2/20/2020,Other
77406,Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77373,"Water Treatment, Production or Repressurization",1,2/20/2020,Other
77088,Unrestricted,1,2/20/2020,Unrestricted
77043,Unrestricted,1,2/20/2020,Unrestricted
77087,Single Family Residential (Public Street),1,2/20/2020,Residential
77028,Single Family Residential (Public Street),1,2/20/2020,Residential
77019,Single Family Residential (Public Street),1,2/20/2020,Residential
77022,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/20/2020,Residential
77018,Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77493,General Plan,1,2/20/2020,Other
77493,Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77021,Single Family Residential (Public Street),1,2/20/2020,Residential
77484,General Plan,1,2/20/2020,Other
77484,Unrestricted,1,2/20/2020,Unrestricted
77084,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77365,Unrestricted Intended for Multifamily,1,2/20/2020,Unrestricted
77098,Unrestricted,1,2/20/2020,Unrestricted
77018,Single Family Residential (Public Street),1,2/20/2020,Residential
77407,Unrestricted,1,2/20/2020,Unrestricted
77429,Commercial,1,2/20/2020,Commercial
77004,Single Family Residential (Public Street),1,2/20/2020,Residential
77433,Unrestricted,1,2/20/2020,Unrestricted
77336,Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77039,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,2/20/2020,Residential
77018,Single Family Residential (Public Street),1,2/20/2020,Residential
77080,Unrestricted,1,2/20/2020,Unrestricted
77004,Single Family Residential (Public Street),1,2/20/2020,Residential
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77406,Landscape or Open Space,1,2/20/2020,Other
77019,Single Family Residential (Public Street),1,2/20/2020,Residential
77386,Drainage or Detention; Landscape or Open Space; Street Dedication,1,2/20/2020,Other
77024,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,2/20/2020,Residential
77044,Single Family Residential (PAE 1/PAE 2),1,2/20/2020,Residential
77033,Single Family Residential (Public Street),1,2/20/2020,Residential
77007,Single Family Residential (Public Street),1,2/20/2020,Residential
77433,Street Dedication,1,2/20/2020,Other
77013,Commercial,1,2/20/2020,Commercial
77047,Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77339,"Church, School and Institutional",1,2/20/2020,Other
77532,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77022,Single Family Residential (Public Street),1,2/20/2020,Residential
77545,Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77051,Single Family Residential (Public Street),1,2/20/2020,Residential
77055,Unrestricted,1,2/20/2020,Unrestricted
77066,Unrestricted Intended for Multifamily,1,2/20/2020,Unrestricted
77396,Unrestricted,1,2/20/2020,Unrestricted
77056,Unrestricted Intended for Multifamily,1,2/20/2020,Unrestricted
77379,General Plan,1,2/20/2020,Other
77379,Unrestricted,1,2/20/2020,Unrestricted
77019,Single Family Residential (Public Street),1,2/20/2020,Residential
77091,Single Family Residential (Public Street),1,2/20/2020,Residential
77365,Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77018,Single Family Residential (Public Street),1,2/20/2020,Residential
77406,Single Family Residential (Public Street),1,2/20/2020,Residential
77406,Single Family Residential (Public Street),1,2/20/2020,Residential
77008,Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77008,Single Family Residential (Public Street),1,2/20/2020,Residential
77373,Commercial,1,2/20/2020,Commercial
77030,Unrestricted Intended for Multifamily,1,2/20/2020,Unrestricted
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/20/2020,Residential
77449,Landscape or Open Space; Single Family Residential (Public Street); Other,1,2/20/2020,Residential
77357,Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77028,Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77433,Drainage or Detention; Landscape or Open Space; Recreation,1,2/20/2020,Other
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77433,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77004,Single Family Residential (Public Street),1,2/20/2020,Residential
77004,Single Family Residential (Public Street),1,2/20/2020,Residential
77007,Other,1,2/20/2020,Other
77365,Unrestricted Intended for Multifamily,1,2/20/2020,Unrestricted
77386,Single Family Residential (Public Street),1,2/20/2020,Residential
77088,Single Family Residential (Public Street),1,2/20/2020,Residential
77429,Unrestricted; Landscape or Open Space; Lift Station,1,2/20/2020,Unrestricted
77006,Single Family Residential (Public Street),1,2/20/2020,Residential
77073,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/20/2020,Residential
77433,Street Dedication,1,2/20/2020,Other
77433,Street Dedication,1,2/20/2020,Other
77041,Commercial,1,2/20/2020,Commercial
77041,Unrestricted,1,2/20/2020,Unrestricted
77075,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/20/2020,Residential
77023,Single Family Residential (Public Street),1,2/20/2020,Residential
77070,Commercial,1,2/20/2020,Commercial
77043,Single Family Residential (Shared Driveways),1,2/20/2020,Residential
77091,Single Family Residential (Shared Driveways),1,2/6/2020,Residential
77027,Unrestricted,1,2/6/2020,Unrestricted
77026,Unrestricted,1,2/6/2020,Unrestricted
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77045,Unrestricted Intended for Multifamily,1,2/6/2020,Unrestricted
77047,Single Family Residential (Shared Driveways),1,2/6/2020,Residential
77004,Single Family Residential (Public Street),1,2/6/2020,Residential
77377,General Plan,1,2/6/2020,Other
77008,Single Family Residential (Public Street),1,2/6/2020,Residential
77024,Single Family Residential (Public Street),1,2/6/2020,Residential
77493,Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77004,Single Family Residential (Public Street),1,2/6/2020,Residential
77047,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/6/2020,Residential
77025,Unrestricted,1,2/6/2020,Unrestricted
77098,Unrestricted,1,2/6/2020,Unrestricted
77373,General Plan,1,2/6/2020,Other
77040,General Plan,1,2/6/2020,Other
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77365,Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77018,Commercial,1,2/6/2020,Commercial
77076,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/6/2020,Residential
77008,Landscape or Open Space; Single Family Residential (Shared Driveways),1,2/6/2020,Residential
77433,Unrestricted,1,2/6/2020,Unrestricted
77373,Unrestricted; Lift Station,1,2/6/2020,Unrestricted
77004,Single Family Residential (Public Street),1,2/6/2020,Residential
77009,Landscape or Open Space; Recreation; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,2/6/2020,Residential
77493,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,2/6/2020,Residential
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77019,Single Family Residential (Shared Driveways),1,2/6/2020,Residential
77065,Single Family Residential (Public Street),1,2/6/2020,Residential
77013,Commercial,1,2/6/2020,Commercial
77075,Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,2/6/2020,Residential
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,2/6/2020,Residential
77008,Single Family Residential (Shared Driveways),1,2/6/2020,Residential
77034,Single Family Residential (Public Street),1,2/6/2020,Residential
77388,Unrestricted,1,2/6/2020,Unrestricted
77407,Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77088,Single Family Residential (Public Street),1,2/6/2020,Residential
77396,Unrestricted; Unrestricted Intended for Multifamily; Lift Station,1,2/6/2020,Unrestricted
77346,Single Family Residential (Public Street),1,2/6/2020,Residential
77433,Lift Station,1,2/6/2020,Other
77396,Drainage or Detention,1,2/6/2020,Other
77396,"Water Treatment, Production or Repressurization",1,2/6/2020,Other
77406,Unrestricted Intended for Multifamily,1,2/6/2020,Unrestricted
77406,Unrestricted,1,2/6/2020,Unrestricted
77087,Single Family Residential (Public Street),1,2/6/2020,Residential
77014,"Church, School and Institutional",1,2/6/2020,Other
77022,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/6/2020,Residential
77433,Drainage or Detention; Street Dedication,1,2/6/2020,Other
77449,Single Family Residential (Public Street),1,2/6/2020,Residential
77449,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77021,Single Family Residential (Public Street),1,2/6/2020,Residential
77498,Unrestricted,1,2/6/2020,Unrestricted
77365,Unrestricted Intended for Multifamily,1,2/6/2020,Unrestricted
77099,Unrestricted,1,2/6/2020,Unrestricted
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,2/6/2020,Residential
77407,Landscape or Open Space; Single Family Residential (Public Street),1,2/6/2020,Residential
77407,Single Family Residential (Public Street),1,2/6/2020,Residential
77044,Single Family Residential (Public Street),1,2/6/2020,Residential
77044,Single Family Residential (Public Street),1,2/6/2020,Residential
