Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,Year
75058,"$200,000 or more",80,580,739,1329,25909,6574,2015
,,,,,,,,2015
75060,,21200,7075,9890,12095,452675,60680,2015
75060,"$1 under $25,000",9280,477,677,534,21164,1770,2015
75060,"$25,000 under $50,000",6620,1225,2012,2525,103674,9630,2015
75060,"$50,000 under $75,000",2720,1580,2464,2408,101196,11850,2015
75060,"$75,000 under $100,000",1290,1323,1774,2076,77656,10369,2015
75060,"$100,000 under $200,000",1180,2121,2700,3837,117048,19425,2015
75060,"$200,000 or more",110,349,263,715,31937,7636,2015
,,,,,,,,2015
75061,,24150,6345,8664,13460,489919,69291,2015
75061,"$1 under $25,000",11180,415,630,712,25794,2116,2015
75061,"$25,000 under $50,000",7970,1100,1720,2889,124264,11448,2015
75061,"$50,000 under $75,000",2640,1348,2156,2306,99189,11865,2015
75061,"$75,000 under $100,000",1100,1013,1481,1831,67086,9229,2015
75061,"$100,000 under $200,000",1090,1901,2172,4055,112815,19203,2015
75061,"$200,000 or more",170,568,505,1667,60771,15430,2015
,,,,,,,,2015
75062,,22790,12096,13362,19838,701993,125592,2015
75062,"$1 under $25,000",9680,839,763,632,24309,2037,2015
75062,"$25,000 under $50,000",7010,1233,1928,2893,120438,11852,2015
75062,"$50,000 under $75,000",2790,1564,2206,2616,109782,13936,2015
75062,"$75,000 under $100,000",1320,1303,1624,2066,82435,11699,2015
75062,"$100,000 under $200,000",1470,3663,3826,4561,153180,26268,2015
75062,"$200,000 or more",520,3494,3015,7070,211849,59800,2015
,,,,,,,,2015
75063,,18680,35265,35839,28332,1494423,308408,2015
75063,"$1 under $25,000",3780,729,675,371,10295,891,2015
75063,"$25,000 under $50,000",3630,1231,1255,1447,78929,8761,2015
75063,"$50,000 under $75,000",3040,2469,2820,2307,130902,18162,2015
75063,"$75,000 under $100,000",2280,3242,3617,2190,145659,21262,2015
75063,"$100,000 under $200,000",4100,14998,15734,8863,448983,79296,2015
75063,"$200,000 or more",1850,12596,11738,13154,679655,180036,2015
,,,,,,,,2015
75065,,5540,7817,9827,6834,265997,46006,2015
75065,"$1 under $25,000",1710,296,314,125,4686,418,2015
75065,"$25,000 under $50,000",1260,696,937,490,23849,2509,2015
75065,"$50,000 under $75,000",850,1019,1411,883,33742,4203,2015
75065,"$75,000 under $100,000",590,1269,1573,830,35912,4928,2015
75065,"$100,000 under $200,000",900,3084,4065,2716,92913,15630,2015
75065,"$200,000 or more",230,1453,1527,1790,74895,18318,2015
,,,,,,,,2015
75067,,33040,19608,27844,24727,1066429,163564,2015
75067,"$1 under $25,000",11430,831,1066,876,33622,2937,2015
75067,"$25,000 under $50,000",10250,2363,3603,3785,191821,19815,2015
75067,"$50,000 under $75,000",5000,3635,5497,4558,202293,26133,2015
75067,"$75,000 under $100,000",2690,3573,5283,3876,170146,24610,2015
75067,"$100,000 under $200,000",3200,7208,10106,8687,334808,57719,2015
75067,"$200,000 or more",470,1998,2289,2945,133739,32350,2015
,,,,,,,,2015
75068,,21850,48023,59349,28658,1056423,172512,2015
75068,"$1 under $25,000",5850,1248,1569,613,14382,1255,2015
75068,"$25,000 under $50,000",4320,4267,5647,2566,74148,7125,2015
75068,"$50,000 under $75,000",3430,7002,9860,4253,129064,15113,2015
75068,"$75,000 under $100,000",2930,8170,11257,4701,173595,22356,2015
75068,"$100,000 under $200,000",4620,22322,25168,11678,468093,77305,2015
75068,"$200,000 or more",700,5014,5848,4847,197141,49358,2015
,,,,,,,,2015
75069,,16540,30325,30749,28667,1008392,221864,2015
75069,"$1 under $25,000",6260,911,901,394,15115,1347,2015
75069,"$25,000 under $50,000",4190,1784,2116,1558,70099,7072,2015
75069,"$50,000 under $75,000",1910,2596,2763,1765,73699,9194,2015
75069,"$75,000 under $100,000",1130,2857,3029,1861,69433,9865,2015
75069,"$100,000 under $200,000",1930,8933,9335,6878,204259,34775,2015
75069,"$200,000 or more",1120,13244,12605,16211,575787,159611,2015
,,,,,,,,2015
75070,,41990,127232,141965,104773,3277703,660232,2015
75070,"$1 under $25,000",10200,2865,2897,1275,25535,2326,2015
75070,"$25,000 under $50,000",6390,6314,6762,3973,123567,12968,2015
75070,"$50,000 under $75,000",5250,10957,12757,7165,207225,26160,2015
75070,"$75,000 under $100,000",4810,15510,19009,9263,287479,38445,2015
75070,"$100,000 under $200,000",11230,54739,64792,34988,1188636,201240,2015
75070,"$200,000 or more",4110,36847,35748,48109,1445261,379093,2015
,,,,,,,,2015
75071,,20390,55425,65584,41781,1353323,257204,2015
75071,"$1 under $25,000",5370,1167,1341,494,13535,1227,2015
75071,"$25,000 under $50,000",3630,2798,3401,2044,65139,6616,2015
75071,"$50,000 under $75,000",2620,5073,6347,3341,101163,12197,2015
75071,"$75,000 under $100,000",2310,6571,8636,3970,137243,17789,2015
75071,"$100,000 under $200,000",4870,26072,30365,15387,508824,85125,2015
75071,"$200,000 or more",1590,13744,15494,16545,527419,134250,2015
,,,,,,,,2015
75074,,22300,19231,25275,21694,849775,144700,2015
75074,"$1 under $25,000",8340,712,956,500,19170,1619,2015
75074,"$25,000 under $50,000",5780,1844,2465,1648,97400,9798,2015
75074,"$50,000 under $75,000",2930,2598,3843,2334,116525,14723,2015
75074,"$75,000 under $100,000",1800,2697,3643,2712,112705,15897,2015
75074,"$100,000 under $200,000",2750,7691,10151,7484,297282,51566,2015
75074,"$200,000 or more",700,3689,4217,7016,206693,51097,2015
,,,,,,,,2015
75075,,17300,21023,24800,23391,947087,171185,2015
75075,"$1 under $25,000",5170,917,968,493,13184,1180,2015
75075,"$25,000 under $50,000",3630,1669,1895,1520,69369,7447,2015
75075,"$50,000 under $75,000",2270,2540,3096,2308,95470,12712,2015
75075,"$75,000 under $100,000",1840,3183,4084,2543,117023,16786,2015
75075,"$100,000 under $200,000",3440,8644,10726,9649,377862,65705,2015
75075,"$200,000 or more",950,4070,4031,6878,274179,67355,2015
,,,,,,,,2015
75076,,3540,3471,4236,4523,168364,30564,2015
75076,"$1 under $25,000",1240,179,182,121,2907,267,2015
75076,"$25,000 under $50,000",790,278,364,320,14512,1552,2015
75076,"$50,000 under $75,000",520,451,574,531,20192,2538,2015
75076,"$75,000 under $100,000",350,488,683,516,21588,2845,2015
75076,"$100,000 under $200,000",500,1271,1567,1252,51229,8624,2015
75076,"$200,000 or more",140,804,866,1783,57936,14738,2015
,,,,,,,,2015
75077,,17490,45734,51001,42966,1406204,292757,2015
75077,"$1 under $25,000",4790,1127,1006,530,12583,1121,2015
75077,"$25,000 under $50,000",2810,2397,2962,1624,55747,6001,2015
75077,"$50,000 under $75,000",2100,3643,4463,2470,84196,10771,2015
75077,"$75,000 under $100,000",1830,4822,5664,3643,111779,15157,2015
75077,"$100,000 under $200,000",4130,18527,21741,13760,443172,75050,2015
75077,"$200,000 or more",1830,15218,15165,20939,698727,184657,2015
,,,,,,,,2015
75078,,8080,44493,52825,30737,974462,223678,2015
75078,"$1 under $25,000",1670,405,361,119,3821,339,2015
75078,"$25,000 under $50,000",840,1129,1148,623,15016,1575,2015
75078,"$50,000 under $75,000",680,1850,2225,1037,25541,3134,2015
75078,"$75,000 under $100,000",670,3017,3505,1402,38188,4993,2015
75078,"$100,000 under $200,000",2380,17320,20958,8826,255321,43009,2015
75078,"$200,000 or more",1840,20772,24628,18730,636575,170628,2015
,,,,,,,,2015
75080,,20540,29496,31160,34253,1180665,223378,2015
75080,"$1 under $25,000",6350,1168,1112,614,15924,1372,2015
75080,"$25,000 under $50,000",4250,1935,1924,1582,80093,8437,2015
75080,"$50,000 under $75,000",2900,3028,3670,2753,121062,16196,2015
75080,"$75,000 under $100,000",2110,3478,4182,3125,135785,19872,2015
75080,"$100,000 under $200,000",3630,10850,12132,11235,394702,68099,2015
75080,"$200,000 or more",1300,9037,8140,14944,433099,109402,2015
,,,,,,,,2015
75081,,18040,14455,16423,19984,830263,145208,2015
75081,"$1 under $25,000",6060,747,816,565,14956,1301,2015
75081,"$25,000 under $50,000",4270,1577,1932,1804,80389,8494,2015
75081,"$50,000 under $75,000",2730,2438,2968,2940,113671,15076,2015
75081,"$75,000 under $100,000",1880,2527,3268,2713,119487,17228,2015
75081,"$100,000 under $200,000",2590,5246,5840,7877,274554,47400,2015
75081,"$200,000 or more",510,1920,1599,4085,227206,55709,2015
,,,,,,,,2015
75082,,10370,27690,24278,30961,913239,188823,2015
75082,"$1 under $25,000",2480,751,653,216,5845,523,2015
75082,"$25,000 under $50,000",1530,1320,1169,838,31339,3467,2015
75082,"$50,000 under $75,000",1270,2027,1917,1287,52637,6983,2015
75082,"$75,000 under $100,000",1110,2545,2452,1759,71174,10373,2015
75082,"$100,000 under $200,000",2560,10960,10012,9270,283874,49347,2015
75082,"$200,000 or more",1420,10087,8075,17591,468370,118130,2015
,,,,,,,,2015
75087,,15450,36263,46663,36432,1049727,195071,2015
75087,"$1 under $25,000",3850,1051,1149,569,9463,855,2015
75087,"$25,000 under $50,000",2440,2132,2641,1811,46465,4952,2015
75087,"$50,000 under $75,000",1970,3655,4734,2688,76502,9524,2015
75087,"$75,000 under $100,000",1810,4853,6403,3711,109177,14403,2015
75087,"$100,000 under $200,000",4160,16769,22230,14942,437488,73191,2015
75087,"$200,000 or more",1220,7803,9506,12711,370632,92146,2015
,,,,,,,,2015
75088,,11690,16169,18646,18283,597493,106776,2015
75088,"$1 under $25,000",3500,587,768,362,8946,793,2015
75088,"$25,000 under $50,000",2450,1561,1933,1409,46100,4814,2015
75088,"$50,000 under $75,000",1700,2219,2716,2046,66544,8336,2015
75088,"$75,000 under $100,000",1300,2342,2945,2633,79554,10724,2015
75088,"$100,000 under $200,000",2240,6654,7664,7605,235928,40191,2015
75088,"$200,000 or more",500,2806,2620,4228,160421,41918,2015
,,,,,,,,2015
75089,,14480,22898,30177,22196,686521,113463,2015
75089,"$1 under $25,000",4480,833,997,439,10585,944,2015
75089,"$25,000 under $50,000",2740,2022,2928,1497,49593,5085,2015
75089,"$50,000 under $75,000",2000,3364,4674,2622,77724,9429,2015
75089,"$75,000 under $100,000",1720,3881,5393,3393,103812,13891,2015
75089,"$100,000 under $200,000",3020,10084,13140,10253,312307,52120,2015
75089,"$200,000 or more",520,2714,3045,3992,132500,31994,2015
,,,,,,,,2015
75090,,9710,2847,4075,5061,218045,31875,2015
75090,"$1 under $25,000",4590,165,269,283,9838,898,2015
75090,"$25,000 under $50,000",2870,309,537,570,44804,4225,2015
75090,"$50,000 under $75,000",1040,384,760,807,39121,4518,2015
75090,"$75,000 under $100,000",570,460,645,905,34108,4457,2015
75090,"$100,000 under $200,000",540,1024,1404,1506,54494,8977,2015
75090,"$200,000 or more",100,505,460,990,35680,8800,2015
,,,,,,,,2015
75092,,10900,7897,9440,13826,448372,78222,2015
75092,"$1 under $25,000",3920,267,370,391,10829,981,2015
75092,"$25,000 under $50,000",2870,763,1078,1006,52584,5438,2015
75092,"$50,000 under $75,000",1620,991,1291,1542,65140,8026,2015
75092,"$75,000 under $100,000",970,1185,1460,1680,59679,7928,2015
75092,"$100,000 under $200,000",1170,2465,3342,4063,122019,20265,2015
75092,"$200,000 or more",350,2226,1899,5144,138121,35584,2015
,,,,,,,,2015
75093,,23610,95831,77162,107699,3637610,931313,2015
75093,"$1 under $25,000",5690,1792,1522,496,15041,1352,2015
