Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,Year
,,,,,,,,2017
75024,,20510,63447,50097,62626,2579994,632649,2017
75024,"$1 under $25,000",4160,1039,851,373,11075,1000,2017
75024,"$25,000 under $50,000",2990,1982,1443,1312,65747,7569,2017
75024,"$50,000 under $75,000",2900,2999,2431,2192,125363,17475,2017
75024,"$75,000 under $100,000",2480,3696,3471,2492,158720,23521,2017
75024,"$100,000 under $200,000",4840,20131,18990,10234,533901,93731,2017
75024,"$200,000 or more",3140,33600,22911,46023,1685188,489353,2017
,,,,,,,,2017
75025,,23790,68575,56928,46401,2016011,410314,2017
75025,"$1 under $25,000",6090,1664,1728,617,15764,1448,2017
75025,"$25,000 under $50,000",3500,3152,2323,1706,68117,7327,2017
75025,"$50,000 under $75,000",2660,4557,4374,2629,108744,14199,2017
75025,"$75,000 under $100,000",2290,6390,5913,3405,141174,19585,2017
75025,"$100,000 under $200,000",5990,28710,24698,16114,664928,114126,2017
75025,"$200,000 or more",3260,24102,17892,21930,1017284,253629,2017
,,,,,,,,2017
75028,,21150,68946,71296,56149,1847938,379011,2017
75028,"$1 under $25,000",5240,1293,1258,502,13168,1215,2017
75028,"$25,000 under $50,000",2760,2651,2415,1605,55392,6064,2017
75028,"$50,000 under $75,000",2280,4544,4796,2948,92240,11911,2017
75028,"$75,000 under $100,000",2120,6350,6997,4066,128788,17675,2017
75028,"$100,000 under $200,000",5910,30133,32551,19667,641725,109465,2017
75028,"$200,000 or more",2840,23975,23279,27361,916625,232681,2017
,,,,,,,,2017
75032,,14650,50124,53019,49354,1534983,356438,2017
75032,"$1 under $25,000",4110,1371,1091,641,9654,888,2017
75032,"$25,000 under $50,000",2310,2012,2174,1365,42713,4507,2017
75032,"$50,000 under $75,000",1700,3497,3882,2243,65584,8158,2017
75032,"$75,000 under $100,000",1340,4244,4550,2532,79339,10716,2017
75032,"$100,000 under $200,000",3170,17000,19398,12541,335744,56808,2017
75032,"$200,000 or more",2020,22000,21924,30032,1001949,275361,2017
,,,,,,,,2017
75034,,31520,142939,133140,117513,3905308,929786,2017
75034,"$1 under $25,000",7100,2563,2194,776,18319,1637,2017
75034,"$25,000 under $50,000",5060,3937,3810,2676,101474,11153,2017
75034,"$50,000 under $75,000",3810,7160,7002,4328,156566,21291,2017
75034,"$75,000 under $100,000",2950,8964,9143,5300,181965,27131,2017
75034,"$100,000 under $200,000",7000,44699,45925,23490,750849,130860,2017
75034,"$200,000 or more",5600,75616,65066,80943,2696135,737714,2017
,,,,,,,,2017
75035,,30250,120028,129340,65834,2674413,537026,2017
75035,"$1 under $25,000",6750,2048,2036,719,15951,1472,2017
75035,"$25,000 under $50,000",3740,3935,4193,2109,71597,7675,2017
75035,"$50,000 under $75,000",3190,7159,7315,3715,126385,16127,2017
75035,"$75,000 under $100,000",2960,10481,11299,5213,178270,24777,2017
75035,"$100,000 under $200,000",9040,54126,60181,23893,975474,167032,2017
75035,"$200,000 or more",4570,42279,44316,30185,1306736,319943,2017
,,,,,,,,2017
75038,,15100,18088,13649,27870,1064347,246035,2017
75038,"$1 under $25,000",5250,303,234,448,14088,1121,2017
75038,"$25,000 under $50,000",4390,578,706,2403,80628,8359,2017
75038,"$50,000 under $75,000",2170,1066,1156,1735,90460,12109,2017
75038,"$75,000 under $100,000",1260,1052,1156,1318,78964,11500,2017
75038,"$100,000 under $200,000",1330,3898,3939,3252,138691,24235,2017
75038,"$200,000 or more",700,11191,6458,18714,661516,188711,2017
,,,,,,,,2017
75039,,11820,22312,20199,17226,1009151,212623,2017
75039,"$1 under $25,000",1740,277,253,188,6140,534,2017
75039,"$25,000 under $50,000",2260,595,593,999,54986,6492,2017
75039,"$50,000 under $75,000",2570,1058,1135,1590,117904,17580,2017
75039,"$75,000 under $100,000",1700,1521,1628,1805,114084,18704,2017
75039,"$100,000 under $200,000",2400,6847,7187,4332,265004,48915,2017
75039,"$200,000 or more",1150,12014,9403,8312,451033,120398,2017
,,,,,,,,2017
75040,,28880,17595,19219,20107,735327,105509,2017
75040,"$1 under $25,000",11850,1173,1378,808,28448,2529,2017
75040,"$25,000 under $50,000",8550,3166,3749,3377,144130,14297,2017
75040,"$50,000 under $75,000",4060,3983,4667,4005,155024,18964,2017
75040,"$75,000 under $100,000",1980,2791,3086,3297,119724,16411,2017
75040,"$100,000 under $200,000",2180,5456,5496,6866,221399,37126,2017
75040,"$200,000 or more",260,1026,843,1754,66602,16182,2017
,,,,,,,,2017
75041,,13450,5185,5923,7501,304412,44242,2017
75041,"$1 under $25,000",5940,415,515,392,13801,1203,2017
75041,"$25,000 under $50,000",4350,1046,1168,1350,69019,6534,2017
75041,"$50,000 under $75,000",1680,1119,1416,1311,62904,7424,2017
75041,"$75,000 under $100,000",750,889,1015,1062,45386,6081,2017
75041,"$100,000 under $200,000",630,1304,1490,2179,61963,10177,2017
75041,"$200,000 or more",100,412,319,1207,51339,12823,2017
,,,,,,,,2017
75042,,17020,5014,5492,6591,309906,40486,2017
75042,"$1 under $25,000",8040,435,512,433,19370,1727,2017
75042,"$25,000 under $50,000",5430,1222,1660,1528,85286,8268,2017
75042,"$50,000 under $75,000",2080,1404,1507,1712,76866,9086,2017
75042,"$75,000 under $100,000",800,696,823,1022,48436,6595,2017
75042,"$100,000 under $200,000",610,1006,990,1294,60882,10091,2017
75042,"$200,000 or more",60,251,0,602,19066,4719,2017
,,,,,,,,2017
75043,,28780,23555,25699,29002,892587,137620,2017
75043,"$1 under $25,000",10910,1444,1669,1134,26702,2321,2017
75043,"$25,000 under $50,000",8360,3183,3886,4192,146365,14560,2017
75043,"$50,000 under $75,000",4090,4323,5209,4874,157649,19594,2017
75043,"$75,000 under $100,000",2290,3933,4460,4484,137945,18775,2017
75043,"$100,000 under $200,000",2690,8405,8555,10021,272317,45230,2017
75043,"$200,000 or more",440,2267,1920,4297,151609,37140,2017
,,,,,,,,2017
75044,,21350,31843,26785,30172,983299,178016,2017
75044,"$1 under $25,000",7180,1274,1060,622,18465,1678,2017
75044,"$25,000 under $50,000",5430,2807,2833,2439,100131,10583,2017
75044,"$50,000 under $75,000",3040,3987,3552,2845,123046,16039,2017
75044,"$75,000 under $100,000",1860,3699,3609,3025,116037,16771,2017
75044,"$100,000 under $200,000",2770,11476,9437,9840,292905,50329,2017
75044,"$200,000 or more",1070,8600,6294,11401,332715,82616,2017
,,,,,,,,2017
75048,,11820,33408,33489,22916,701855,126490,2017
75048,"$1 under $25,000",3120,921,900,301,7724,707,2017
75048,"$25,000 under $50,000",2190,2232,2171,1185,40100,4380,2017
75048,"$50,000 under $75,000",1590,3680,3892,2098,61215,7588,2017
75048,"$75,000 under $100,000",1310,4704,4801,2604,77989,10537,2017
75048,"$100,000 under $200,000",2830,15764,16031,10431,292791,48935,2017
75048,"$200,000 or more",780,6107,5694,6297,222036,54343,2017
,,,,,,,,2017
75050,,19320,8668,9055,17352,499826,76566,2017
75050,"$1 under $25,000",7700,467,424,890,18617,1593,2017
75050,"$25,000 under $50,000",6350,1099,1286,4239,108686,10694,2017
75050,"$50,000 under $75,000",2680,1441,1697,3751,102588,12809,2017
75050,"$75,000 under $100,000",1180,1476,1646,2221,73017,10496,2017
75050,"$100,000 under $200,000",1180,3141,3213,4351,120808,20539,2017
75050,"$200,000 or more",230,1044,789,1900,76110,20435,2017
,,,,,,,,2017
75051,,16870,4696,5597,11196,303132,39720,2017
75051,"$1 under $25,000",7730,309,354,993,16878,1430,2017
75051,"$25,000 under $50,000",5700,1173,1622,4231,90387,8376,2017
75051,"$50,000 under $75,000",2050,1271,1744,2498,73778,8336,2017
75051,"$75,000 under $100,000",830,853,990,1630,48331,6326,2017
75051,"$100,000 under $200,000",500,655,887,1455,47706,7664,2017
75051,"$200,000 or more",60,435,0,389,26052,7588,2017
,,,,,,,,2017
75052,,43660,49924,53051,60105,1420641,212505,2017
75052,"$1 under $25,000",15150,2411,2819,2164,38481,3338,2017
75052,"$25,000 under $50,000",11710,6649,8032,10054,205253,20215,2017
75052,"$50,000 under $75,000",6980,10577,11615,12409,262720,31866,2017
75052,"$75,000 under $100,000",4160,9080,10152,9799,246695,33558,2017
75052,"$100,000 under $200,000",5020,17750,17433,20499,498600,82365,2017
75052,"$200,000 or more",640,3457,3000,5180,168892,41163,2017
,,,,,,,,2017
75054,,6390,26846,29030,20243,435486,80320,2017
75054,"$1 under $25,000",1430,599,717,213,3473,314,2017
75054,"$25,000 under $50,000",900,1298,1440,1054,16102,1592,2017
75054,"$50,000 under $75,000",800,2546,3101,2051,29517,3611,2017
75054,"$75,000 under $100,000",740,3754,4111,2344,42072,5840,2017
75054,"$100,000 under $200,000",1960,13924,15042,9636,197540,33120,2017
75054,"$200,000 or more",560,4725,4619,4945,146782,35843,2017
,,,,,,,,2017
75056,,31400,78570,76561,57714,2186790,448252,2017
75056,"$1 under $25,000",8150,1658,1755,711,23901,2183,2017
75056,"$25,000 under $50,000",6990,3698,3854,3098,144319,15925,2017
75056,"$50,000 under $75,000",4690,6051,6304,3998,196780,26903,2017
75056,"$75,000 under $100,000",3140,7163,7673,4907,197342,29369,2017
75056,"$100,000 under $200,000",5590,29390,29498,16834,599013,104234,2017
75056,"$200,000 or more",2840,30610,27477,28166,1025435,269638,2017
,,,,,,,,2017
75057,,7110,2100,2712,3997,199818,33014,2017
75057,"$1 under $25,000",2770,133,191,196,7494,686,2017
75057,"$25,000 under $50,000",2390,313,400,849,44720,4711,2017
75057,"$50,000 under $75,000",1060,309,427,619,43191,5683,2017
75057,"$75,000 under $100,000",450,321,491,541,28978,4392,2017
75057,"$100,000 under $200,000",360,580,728,836,37417,6445,2017
75057,"$200,000 or more",80,444,475,956,38018,11097,2017
,,,,,,,,2017
75058,,1540,4000,4822,3303,92418,16830,2017
75058,"$1 under $25,000",440,0,0,0,1093,100,2017
75058,"$25,000 under $50,000",290,229,330,131,4910,499,2017
75058,"$50,000 under $75,000",180,326,397,192,6551,776,2017
75058,"$75,000 under $100,000",140,440,512,192,7990,962,2017
75058,"$100,000 under $200,000",370,1999,2444,1268,37754,6128,2017
75058,"$200,000 or more",120,1006,1139,1520,34120,8365,2017
,,,,,,,,2017
75060,,21350,8401,10048,13326,489327,66741,2017
75060,"$1 under $25,000",8750,496,644,683,21023,1820,2017
75060,"$25,000 under $50,000",6810,1520,2252,2759,112155,10888,2017
75060,"$50,000 under $75,000",3070,1893,2446,2730,114440,13414,2017
75060,"$75,000 under $100,000",1390,1544,1731,2271,83520,11147,2017
75060,"$100,000 under $200,000",1190,2508,2518,3623,118270,19462,2017
75060,"$200,000 or more",140,440,457,1260,39919,10010,2017
,,,,,,,,2017
75061,,23350,8064,9507,15861,522564,74425,2017
75061,"$1 under $25,000",10100,476,590,692,24517,2101,2017
75061,"$25,000 under $50,000",7750,1371,1976,3556,126511,12239,2017
75061,"$50,000 under $75,000",2940,1571,2060,3072,110678,13349,2017
75061,"$75,000 under $100,000",1200,1385,1633,2144,72385,9938,2017
75061,"$100,000 under $200,000",1160,2448,2652,3933,120761,20303,2017
75061,"$200,000 or more",200,813,596,2464,67712,16495,2017
,,,,,,,,2017
75062,,22600,14873,14578,19335,744257,134838,2017
75062,"$1 under $25,000",9220,623,741,806,23659,2003,2017
75062,"$25,000 under $50,000",6880,1699,2228,3201,120134,12014,2017
75062,"$50,000 under $75,000",2990,1817,2205,3010,117214,14885,2017
75062,"$75,000 under $100,000",1440,1705,1921,2082,89388,12698,2017
75062,"$100,000 under $200,000",1530,4374,4149,4543,159273,27000,2017
75062,"$200,000 or more",540,4655,3334,5693,234589,66238,2017
,,,,,,,,2017
75063,,19450,49074,43377,37101,1611215,327244,2017
75063,"$1 under $25,000",3760,920,630,310,10284,925,2017
75063,"$25,000 under $50,000",3370,1783,1387,1396,72721,8126,2017
75063,"$50,000 under $75,000",3170,2775,2692,2409,137791,19160,2017
75063,"$75,000 under $100,000",2490,3851,3870,2408,156809,22509,2017
75063,"$100,000 under $200,000",4470,20655,19266,9180,483260,84054,2017
75063,"$200,000 or more",2190,19090,15532,21398,750350,192470,2017
,,,,,,,,2017
75065,,5890,10559,11976,7993,288749,50094,2017
75065,"$1 under $25,000",1720,376,346,161,5017,443,2017
75065,"$25,000 under $50,000",1330,765,914,492,24919,2574,2017
75065,"$50,000 under $75,000",890,1434,1648,947,35216,4385,2017
75065,"$75,000 under $100,000",660,1722,1955,1274,40286,5516,2017
75065,"$100,000 under $200,000",1030,4428,5174,3106,106769,17970,2017
75065,"$200,000 or more",260,1834,1939,2013,76542,19206,2017
,,,,,,,,2017
75067,,32840,24811,30236,28330,1091278,169916,2017
75067,"$1 under $25,000",11020,886,1116,1019,31689,2826,2017
75067,"$25,000 under $50,000",10080,2656,3280,4442,189011,19691,2017
75067,"$50,000 under $75,000",5270,4625,6051,5317,211683,27351,2017
75067,"$75,000 under $100,000",2550,4065,5154,4058,159351,23033,2017
75067,"$100,000 under $200,000",3350,9687,11623,9540,352402,61215,2017
75067,"$200,000 or more",570,2892,3012,3954,147142,35800,2017
,,,,,,,,2017
75068,,25760,64392,77498,38863,1344399,224376,2017
75068,"$1 under $25,000",6730,1730,1963,651,17113,1540,2017
75068,"$25,000 under $50,000",4820,4848,5575,3078,84591,8371,2017
75068,"$50,000 under $75,000",3880,8835,10660,4919,146938,17589,2017
75068,"$75,000 under $100,000",3360,11372,13833,5982,196806,25993,2017
75068,"$100,000 under $200,000",5900,29420,36313,15368,597307,99077,2017
75068,"$200,000 or more",1070,8187,9154,8865,301644,71806,2017
,,,,,,,,2017
75069,,17020,38957,33127,38463,1175050,262725,2017
75069,"$1 under $25,000",6040,1175,965,532,15143,1372,2017
75069,"$25,000 under $50,000",4250,2124,1842,1555,73083,7491,2017
75069,"$50,000 under $75,000",2080,2974,2606,2427,80078,10109,2017
75069,"$75,000 under $100,000",1170,3173,2869,2391,70583,9916,2017
75069,"$100,000 under $200,000",2160,11205,10135,7294,228026,38997,2017
75069,"$200,000 or more",1320,18306,14710,24264,708137,194840,2017
,,,,,,,,2017
75070,,43980,142635,142130,91714,3224966,630125,2017
75070,"$1 under $25,000",10910,2794,2598,1169,27987,2558,2017
75070,"$25,000 under $50,000",7110,6081,5953,4631,138372,14722,2017
75070,"$50,000 under $75,000",5700,12435,12341,6861,225347,28754,2017
75070,"$75,000 under $100,000",4630,15984,17197,8367,278892,38364,2017
75070,"$100,000 under $200,000",11490,65044,68273,35681,1210733,204453,2017
75070,"$200,000 or more",4140,40297,35768,35005,1343635,341274,2017
,,,,,,,,2017
75071,,24560,76988,86725,57908,1740329,336447,2017
75071,"$1 under $25,000",6350,1554,1657,624,16031,1455,2017
75071,"$25,000 under $50,000",3900,3565,3880,2114,70472,7184,2017
75071,"$50,000 under $75,000",3030,6702,7659,3940,116295,14235,2017
75071,"$75,000 under $100,000",2660,8594,10141,4916,157843,20823,2017
75071,"$100,000 under $200,000",6360,35589,41746,20181,665747,111657,2017
75071,"$200,000 or more",2260,20984,21642,26133,713941,181093,2017
,,,,,,,,2017
75074,,23310,27025,29629,24279,960607,166886,2017
75074,"$1 under $25,000",8370,986,1016,612,21373,1896,2017
75074,"$25,000 under $50,000",5820,2125,2680,1806,103117,10620,2017
75074,"$50,000 under $75,000",3190,3261,3738,2291,127500,16359,2017
75074,"$75,000 under $100,000",2020,3660,4078,2955,125376,18166,2017
75074,"$100,000 under $200,000",3020,11412,12745,8627,318678,54443,2017
75074,"$200,000 or more",890,5581,5372,7988,264563,65402,2017
,,,,,,,,2017
75075,,17500,28100,29171,26546,1007050,182117,2017
75075,"$1 under $25,000",4950,1114,1078,589,13046,1167,2017
75075,"$25,000 under $50,000",3580,1958,1875,1780,69545,7563,2017
75075,"$50,000 under $75,000",2380,2893,3257,2479,99522,13218,2017
75075,"$75,000 under $100,000",1770,3679,3966,2873,112925,16474,2017
75075,"$100,000 under $200,000",3730,12234,13389,10122,404635,69858,2017
75075,"$200,000 or more",1090,6222,5606,8703,307377,73837,2017
,,,,,,,,2017
75076,,3730,4455,4918,5271,184951,33490,2017
75076,"$1 under $25,000",1210,271,194,149,2803,264,2017
75076,"$25,000 under $50,000",850,297,425,311,15389,1646,2017
75076,"$50,000 under $75,000",540,443,495,446,21214,2650,2017
75076,"$75,000 under $100,000",400,587,724,687,24307,3297,2017
75076,"$100,000 under $200,000",560,1653,1895,1675,58738,9942,2017
75076,"$200,000 or more",170,1204,1185,2003,62500,15691,2017
,,,,,,,,2017
75077,,17870,53618,53915,47152,1471363,306154,2017
75077,"$1 under $25,000",4740,1225,1149,639,13161,1205,2017
75077,"$25,000 under $50,000",2840,2660,2649,1648,55512,5991,2017
75077,"$50,000 under $75,000",2150,4271,4604,3030,85849,10974,2017
75077,"$75,000 under $100,000",1810,5491,5669,3645,110254,15061,2017
75077,"$100,000 under $200,000",4350,21964,22749,14810,464608,78130,2017
75077,"$200,000 or more",1980,18007,17095,23380,741979,194793,2017
,,,,,,,,2017
75078,,11850,72629,79500,51358,1484192,334645,2017
75078,"$1 under $25,000",2370,1026,1106,225,5531,524,2017
75078,"$25,000 under $50,000",1190,1621,1529,792,21960,2306,2017
75078,"$50,000 under $75,000",940,2891,2869,1428,34544,4179,2017
75078,"$75,000 under $100,000",970,4587,5024,2210,54908,7208,2017
75078,"$100,000 under $200,000",3490,27080,30718,12494,368137,61630,2017
75078,"$200,000 or more",2890,35424,38254,34209,999112,258798,2017
,,,,,,,,2017
75080,,20720,39524,36208,45133,1339335,264041,2017
75080,"$1 under $25,000",6030,1157,916,580,15395,1365,2017
75080,"$25,000 under $50,000",4140,2176,1840,1701,80108,8511,2017
75080,"$50,000 under $75,000",3050,3906,3796,2930,128821,17451,2017
75080,"$75,000 under $100,000",2100,4531,4276,3539,134380,19896,2017
75080,"$100,000 under $200,000",3820,14603,14058,11569,415137,71833,2017
75080,"$200,000 or more",1580,13151,11322,24814,565494,144985,2017
,,,,,,,,2017
75081,,18210,18921,18510,20901,801020,138551,2017
75081,"$1 under $25,000",5970,1004,913,537,14769,1338,2017
75081,"$25,000 under $50,000",4350,1920,2018,1967,82089,8816,2017
75081,"$50,000 under $75,000",2740,2756,3085,2668,114223,15315,2017
75081,"$75,000 under $100,000",1890,3212,3346,3150,119310,17416,2017
75081,"$100,000 under $200,000",2680,7342,7221,8109,283087,48577,2017
75081,"$200,000 or more",580,2687,1927,4470,187542,47089,2017
,,,,,,,,2017
75082,,11570,33474,24772,28008,1161576,242386,2017
75082,"$1 under $25,000",2730,773,468,259,7592,683,2017
75082,"$25,000 under $50,000",1810,1597,1319,950,37750,4251,2017
75082,"$50,000 under $75,000",1600,2359,1945,1572,67142,9150,2017
75082,"$75,000 under $100,000",1200,2947,2319,1971,76176,11310,2017
75082,"$100,000 under $200,000",2690,12846,9927,9374,296203,51480,2017
75082,"$200,000 or more",1540,12952,8794,13882,676713,165512,2017
,,,,,,,,2017
75087,,16700,46257,53792,41807,1288431,252773,2017
75087,"$1 under $25,000",4070,1023,997,553,10349,974,2017
75087,"$25,000 under $50,000",2450,2442,2854,1738,46191,4871,2017
75087,"$50,000 under $75,000",2090,4294,5283,3088,81929,10357,2017
75087,"$75,000 under $100,000",1930,5934,7166,4056,114622,15102,2017
75087,"$100,000 under $200,000",4680,21740,26329,16997,495411,83028,2017
75087,"$200,000 or more",1480,10824,11163,15375,539929,138441,2017
,,,,,,,,2017
75088,,12060,21555,20320,19638,631777,113482,2017
75088,"$1 under $25,000",3540,766,704,339,8734,786,2017
75088,"$25,000 under $50,000",2590,1898,1975,1496,48328,5115,2017
75088,"$50,000 under $75,000",1750,2875,3134,2262,69104,8809,2017
75088,"$75,000 under $100,000",1290,3393,3296,2538,78557,10880,2017
75088,"$100,000 under $200,000",2300,8799,8277,7773,239675,40415,2017
75088,"$200,000 or more",590,3824,2934,5230,187379,47477,2017
,,,,,,,,2017
75089,,15260,31299,32325,24028,752078,126573,2017
75089,"$1 under $25,000",4540,1177,1192,507,11338,1020,2017
75089,"$25,000 under $50,000",2960,2685,2924,1826,54341,5675,2017
75089,"$50,000 under $75,000",2210,4581,4762,3057,85723,10606,2017
75089,"$75,000 under $100,000",1700,4747,5222,3380,101465,13648,2017
75089,"$100,000 under $200,000",3190,13845,14215,10950,329395,55073,2017
75089,"$200,000 or more",660,4264,4010,4308,169816,40551,2017
,,,,,,,,2017
75090,,9750,3895,4804,5476,240405,36151,2017
75090,"$1 under $25,000",4420,232,464,244,10113,914,2017
75090,"$25,000 under $50,000",2800,411,598,657,45754,4532,2017
75090,"$50,000 under $75,000",1200,558,710,864,45661,5398,2017
75090,"$75,000 under $100,000",590,587,680,731,35062,4487,2017
75090,"$100,000 under $200,000",620,1362,1687,1796,61976,10179,2017
75090,"$200,000 or more",120,745,665,1184,41839,10641,2017
,,,,,,,,2017
75092,,11150,9978,10960,15107,492312,89584,2017
75092,"$1 under $25,000",3810,392,436,380,10793,984,2017
75092,"$25,000 under $50,000",2980,845,1060,1083,55996,5890,2017
75092,"$50,000 under $75,000",1660,1233,1512,1702,66074,8164,2017
75092,"$75,000 under $100,000",1020,1422,1840,1974,62047,8353,2017
75092,"$100,000 under $200,000",1290,3336,3923,4440,130833,21453,2017
75092,"$200,000 or more",390,2750,2189,5528,166569,44740,2017
,,,,,,,,2017
