Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
75010,"$1 under $25,000",3244,634,1086,248,10040,826
75010,"$25,000 under $50,000",2736,1807,2877,1195,58248,6217
75010,"$50,000 under $75,000",1728,2491,4590,1722,72028,9587
75010,"$75,000 under $100,000",1227,2885,5153,2367,76384,10914
75010,"$100,000 under $200,000",1832,7460,12293,6166,193653,34259
75010,"$200,000 or more",518,3902,6046,3973,153421,39585
,,,,,,,
75013,,14468,58280,83212,34584,1344435,285239
75013,"$1 under $25,000",3200,1012,1341,299,8624,717
75013,"$25,000 under $50,000",1938,2157,3115,981,39425,4141
75013,"$50,000 under $75,000",1464,3706,5604,1581,58057,7435
75013,"$75,000 under $100,000",1402,5805,8540,2555,83218,11434
75013,"$100,000 under $200,000",4199,25083,36561,12947,453660,80225
75013,"$200,000 or more",2265,20517,28051,16221,701451,181287
,,,,,,,
75019,,18687,67503,79757,69796,1724748,377202
75019,"$1 under $25,000",4860,1348,1593,450,12622,1095
75019,"$25,000 under $50,000",2915,3089,3772,1604,60143,6375
75019,"$50,000 under $75,000",2092,4754,6238,2594,85031,11168
75019,"$75,000 under $100,000",1772,6160,7855,3350,109324,15460
75019,"$100,000 under $200,000",4421,25869,31677,14665,476425,84265
75019,"$200,000 or more",2627,26283,28622,47133,981203,258839
,,,,,,,
75020,,9458,5403,8426,7020,252672,40631
75020,"$1 under $25,000",4454,392,489,268,11490,1052
75020,"$25,000 under $50,000",2448,737,1114,702,44432,4538
75020,"$50,000 under $75,000",1190,971,2230,1228,46913,5752
75020,"$75,000 under $100,000",639,826,1319,1087,39286,5273
75020,"$100,000 under $200,000",596,1688,2404,2057,60462,10351
75020,"$200,000 or more",131,789,870,1678,50089,13665
,,,,,,,
75021,,3824,1941,3433,2152,97483,14160
75021,"$1 under $25,000",1682,157,199,121,4021,364
75021,"$25,000 under $50,000",1049,305,697,271,19511,1975
75021,"$50,000 under $75,000",520,411,812,462,21024,2616
75021,"$75,000 under $100,000",288,289,571,340,17818,2393
75021,"$100,000 under $200,000",245,458,1154,738,24399,4124
75021,"$200,000 or more",40,321,0,220,10710,2688
,,,,,,,
75022,,9442,45480,65511,34940,1171256,257353
75022,"$1 under $25,000",2385,724,870,250,5613,501
75022,"$25,000 under $50,000",864,1524,1873,613,16292,1705
75022,"$50,000 under $75,000",716,2141,3316,1079,27156,3327
75022,"$75,000 under $100,000",772,3441,5225,1701,44037,5520
75022,"$100,000 under $200,000",2946,18503,28444,11213,317477,55448
75022,"$200,000 or more",1759,19147,25783,20084,760681,190852
,,,,,,,
75023,,22814,28725,49919,29199,1070612,184112
75023,"$1 under $25,000",7154,1419,2554,656,20287,1693
75023,"$25,000 under $50,000",5116,3273,5992,2181,102704,10760
75023,"$50,000 under $75,000",3463,4890,9670,3190,143119,18669
75023,"$75,000 under $100,000",2467,4585,8675,4015,156230,22336
75023,"$100,000 under $200,000",3756,10625,18140,10927,402763,71817
75023,"$200,000 or more",858,3933,4888,8230,245509,58837
,,,,,,,
75024,,18412,42618,65612,32404,1551556,324889
75024,"$1 under $25,000",4181,925,1363,369,14150,1201
75024,"$25,000 under $50,000",3554,2085,3277,1159,82312,9421
75024,"$50,000 under $75,000",2833,3376,6317,1910,123712,17437
75024,"$75,000 under $100,000",1849,4050,6545,2630,116805,17165
75024,"$100,000 under $200,000",3926,15862,25732,9722,432278,78422
75024,"$200,000 or more",2069,16320,22378,16614,782299,201243
,,,,,,,
75025,,23436,54149,80103,42777,1695886,333927
75025,"$1 under $25,000",6210,1719,2321,543,16860,1434
75025,"$25,000 under $50,000",3761,3584,5159,1844,76996,7881
75025,"$50,000 under $75,000",2812,5054,8366,3109,115914,15022
75025,"$75,000 under $100,000",2426,6581,10608,3824,150505,20659
75025,"$100,000 under $200,000",5984,23859,36298,16352,654382,115715
75025,"$200,000 or more",2243,13352,17351,17105,681229,173216
,,,,,,,
75028,,19072,53188,87105,40328,1319240,253838
75028,"$1 under $25,000",5056,1308,2119,522,13106,1169
75028,"$25,000 under $50,000",2626,2957,5027,1664,52077,5482
75028,"$50,000 under $75,000",2166,4826,8555,3043,85273,10407
75028,"$75,000 under $100,000",2374,7375,12865,5107,142462,18721
75028,"$100,000 under $200,000",5217,24209,39735,17093,550442,95724
75028,"$200,000 or more",1633,12513,18804,12899,475880,122335
,,,,,,,
75032,,12461,35121,57550,30477,915267,196218
75032,"$1 under $25,000",3843,1308,1887,526,8772,744
75032,"$25,000 under $50,000",2227,2313,4073,1282,40475,4009
75032,"$50,000 under $75,000",1572,3512,6321,2073,61067,7568
75032,"$75,000 under $100,000",1225,3697,6520,2429,72273,9443
75032,"$100,000 under $200,000",2362,11775,20227,8736,243209,42135
75032,"$200,000 or more",1232,12516,18522,15431,489471,132319
,,,,,,,
75034,,21665,78790,126535,67483,2207229,493740
75034,"$1 under $25,000",5221,1934,2961,732,14196,1189
75034,"$25,000 under $50,000",3870,3538,5781,2020,77351,8149
75034,"$50,000 under $75,000",2662,5422,9519,3154,107305,14087
75034,"$75,000 under $100,000",2042,6229,12980,3869,123511,17424
75034,"$100,000 under $200,000",4827,25412,44485,15416,512555,91006
75034,"$200,000 or more",3043,36255,50809,42292,1372311,361885
,,,,,,,
75035,,22116,53708,104651,38401,1358337,239160
75035,"$1 under $25,000",5038,1638,2777,622,13044,1074
75035,"$25,000 under $50,000",3521,4140,7828,1985,69525,7074
75035,"$50,000 under $75,000",3087,6625,13082,3830,123722,15504
75035,"$75,000 under $100,000",3048,8803,17548,5433,184466,24735
75035,"$100,000 under $200,000",6160,24883,49686,17790,640026,111131
75035,"$200,000 or more",1262,7619,13730,8741,327554,79642
,,,,,,,
75038,,14692,12664,15570,12225,628748,129164
75038,"$1 under $25,000",6058,401,530,253,18687,1305
75038,"$25,000 under $50,000",4376,840,1579,1182,87403,8666
75038,"$50,000 under $75,000",1953,1206,1731,1025,83861,11472
75038,"$75,000 under $100,000",920,942,1523,996,58984,8779
75038,"$100,000 under $200,000",928,2734,4099,2170,96833,17469
75038,"$200,000 or more",457,6541,6108,6599,282980,81473
,,,,,,,
75039,,7401,11034,16996,8466,560712,119067
75039,"$1 under $25,000",1497,193,304,134,6690,550
75039,"$25,000 under $50,000",1825,425,695,480,45937,5425
75039,"$50,000 under $75,000",1478,712,1422,797,68545,10485
75039,"$75,000 under $100,000",858,914,1655,831,58278,9765
75039,"$100,000 under $200,000",1160,3420,5919,2041,129674,25128
75039,"$200,000 or more",583,5370,7001,4183,251588,67714
,,,,,,,
75040,,26994,14987,30320,16262,602194,81286
75040,"$1 under $25,000",12306,1156,2236,705,30055,2388
75040,"$25,000 under $50,000",7640,3300,7937,2720,128276,11772
75040,"$50,000 under $75,000",3508,3608,7599,3469,137235,16451
75040,"$75,000 under $100,000",1741,2645,5187,2838,107696,14508
75040,"$100,000 under $200,000",1681,3828,6727,5646,170098,29099
75040,"$200,000 or more",118,450,634,884,28834,7068
,,,,,,,
75041,,12710,4364,8876,5763,220818,29127
75041,"$1 under $25,000",6494,402,913,343,13345,1026
75041,"$25,000 under $50,000",3816,967,2419,1203,59066,5286
75041,"$50,000 under $75,000",1341,1072,2203,1097,52339,6302
75041,"$75,000 under $100,000",564,753,1497,1051,35462,4856
75041,"$100,000 under $200,000",443,913,1450,1489,45192,7848
75041,"$200,000 or more",52,257,394,580,15414,3809
,,,,,,,
75042,,16060,4758,9305,5167,258806,33117
75042,"$1 under $25,000",8488,601,1165,363,18119,1398
75042,"$25,000 under $50,000",4770,1377,3258,1288,74540,6673
75042,"$50,000 under $75,000",1642,1186,2330,1237,63857,7657
75042,"$75,000 under $100,000",672,636,1248,808,42182,5764
75042,"$100,000 under $200,000",439,667,1052,1126,43992,7639
75042,"$200,000 or more",49,291,252,345,16116,3986
,,,,,,,
75043,,26823,19740,36749,25109,738692,109777
75043,"$1 under $25,000",10998,1288,2516,880,27998,2262
75043,"$25,000 under $50,000",7781,3732,7881,3684,142210,13853
75043,"$50,000 under $75,000",3676,4033,7937,4377,146094,18126
75043,"$75,000 under $100,000",2052,3506,6586,4535,125467,16779
75043,"$100,000 under $200,000",1995,5405,9772,7936,201131,34571
75043,"$200,000 or more",321,1776,2057,3697,95792,24186
,,,,,,,
75044,,19998,25521,38272,28259,833591,149537
75044,"$1 under $25,000",7352,1218,2086,620,20080,1624
75044,"$25,000 under $50,000",5059,2911,5367,2143,97458,9976
75044,"$50,000 under $75,000",2814,3705,5964,2704,115760,14988
75044,"$75,000 under $100,000",1644,3438,5317,3061,102526,14576
75044,"$100,000 under $200,000",2388,9153,13196,8660,256463,45743
75044,"$200,000 or more",741,5096,6342,11071,241304,62630
,,,,,,,
75048,,9614,20013,34549,14961,461950,76386
75048,"$1 under $25,000",2767,681,1108,279,7825,669
75048,"$25,000 under $50,000",1878,2094,3609,1033,35451,3528
75048,"$50,000 under $75,000",1415,3156,5449,1725,55977,6770
75048,"$75,000 under $100,000",1267,3906,6906,2596,75542,9857
75048,"$100,000 under $200,000",2003,8440,14693,6967,205377,35467
75048,"$200,000 or more",284,1736,2784,2361,81778,20095
,,,,,,,
75050,,18214,8282,13388,11109,427103,62683
75050,"$1 under $25,000",8315,506,976,363,20958,1560
75050,"$25,000 under $50,000",5718,1535,2389,1964,101166,9543
75050,"$50,000 under $75,000",2140,1695,3205,1974,87135,11253
75050,"$75,000 under $100,000",1003,1444,2382,1832,63263,9086
75050,"$100,000 under $200,000",879,2227,3396,3210,92082,16469
75050,"$200,000 or more",159,875,1040,1766,62499,14772
,,,,,,,
75051,,15402,4521,8713,5282,222406,26256
75051,"$1 under $25,000",8291,425,800,502,17820,1287
75051,"$25,000 under $50,000",4745,1394,2870,1466,75665,6459
75051,"$50,000 under $75,000",1519,1347,2960,1457,56297,6312
75051,"$75,000 under $100,000",543,650,1289,862,32659,4272
75051,"$100,000 under $200,000",277,705,794,995,26908,4601
75051,"$200,000 or more",27,0,0,0,13057,3325
,,,,,,,
75052,,39415,42276,78723,43796,1205502,174994
75052,"$1 under $25,000",14605,2371,4408,1380,37703,2857
75052,"$25,000 under $50,000",10648,8029,15404,6852,191792,17448
75052,"$50,000 under $75,000",6058,9376,18068,9065,233627,27810
75052,"$75,000 under $100,000",3706,8228,15265,8272,222509,29588
75052,"$100,000 under $200,000",4030,12622,22812,15406,397848,67469
75052,"$200,000 or more",368,1650,2766,2821,122023,29822
,,,,,,,
75054,,4115,13718,23872,10073,241660,41482
75054,"$1 under $25,000",870,384,533,247,2266,178
75054,"$25,000 under $50,000",639,1041,1712,612,11573,1070
75054,"$50,000 under $75,000",613,1932,3201,1095,23349,2895
75054,"$75,000 under $100,000",570,2295,4017,1574,32696,4329
75054,"$100,000 under $200,000",1212,6485,11685,4601,121240,20755
75054,"$200,000 or more",211,1581,2724,1944,50536,12255
,,,,,,,
75056,,23755,47310,76357,33245,1250609,232397
75056,"$1 under $25,000",7107,1301,2403,550,20894,1738
75056,"$25,000 under $50,000",5821,3701,7064,2255,116354,12236
75056,"$50,000 under $75,000",3459,5182,9784,3255,140517,18159
75056,"$75,000 under $100,000",2316,5847,9850,3704,142382,19807
75056,"$100,000 under $200,000",3731,17721,28159,11408,391307,68784
75056,"$200,000 or more",1321,13558,19097,12073,439155,111673
,,,,,,,
75057,,5973,1889,3692,2355,129905,19119
75057,"$1 under $25,000",2768,141,272,104,6954,548
75057,"$25,000 under $50,000",1923,313,599,386,35144,3630
75057,"$50,000 under $75,000",671,369,823,445,27941,3752
75057,"$75,000 under $100,000",304,326,663,406,19328,2851
75057,"$100,000 under $200,000",269,541,1335,725,28355,5187
75057,"$200,000 or more",38,199,0,289,12183,3151
,,,,,,,
75058,,1223,1994,3691,1650,52228,8856
75058,"$1 under $25,000",455,85,0,56,1035,99
75058,"$25,000 under $50,000",231,171,557,83,3723,365
75058,"$50,000 under $75,000",160,216,425,133,6189,701
75058,"$75,000 under $100,000",128,297,624,202,7575,929
75058,"$100,000 under $200,000",202,858,1608,757,20273,3348
75058,"$200,000 or more",47,367,477,419,13433,3414
,,,,,,,
75060,,20135,8586,16610,9073,383757,49253
75060,"$1 under $25,000",9611,686,1523,435,21765,1627
75060,"$25,000 under $50,000",6083,2140,4570,1676,98371,8684
75060,"$50,000 under $75,000",2385,1987,3975,2098,92410,10915
75060,"$75,000 under $100,000",1150,1679,3162,1826,70189,9472
75060,"$100,000 under $200,000",839,1830,3024,2456,82425,13990
75060,"$200,000 or more",67,264,356,582,18597,4565
,,,,,,,
75061,,22948,7863,13938,10875,404143,55060
75061,"$1 under $25,000",12072,692,1244,572,28040,2038
75061,"$25,000 under $50,000",6914,1631,3267,1837,110257,9490
75061,"$50,000 under $75,000",2088,1737,3422,2030,81356,9885
75061,"$75,000 under $100,000",875,1147,2081,1773,54366,7542
75061,"$100,000 under $200,000",892,2094,3334,3647,91899,16222
75061,"$200,000 or more",107,562,590,1016,38225,9883
,,,,,,,
75062,,21650,13297,20058,15738,648444,112592
75062,"$1 under $25,000",10115,770,1363,559,26883,1992
75062,"$25,000 under $50,000",6374,2114,4147,1954,115826,10951
75062,"$50,000 under $75,000",2505,2086,4131,2073,101091,12749
75062,"$75,000 under $100,000",1143,1495,2552,1975,70655,9866
75062,"$100,000 under $200,000",1176,3540,5179,3989,123123,21833
75062,"$200,000 or more",337,3292,2686,5188,210866,55201
,,,,,,,
75063,,17778,33569,47770,23194,1183051,236637
75063,"$1 under $25,000",4244,782,1081,340,14609,1188
75063,"$25,000 under $50,000",4239,1768,2812,1326,95597,10401
75063,"$50,000 under $75,000",2853,2909,4953,2203,124732,17652
75063,"$75,000 under $100,000",1937,4466,6757,2456,122639,18009
75063,"$100,000 under $200,000",3322,14474,21208,7350,362696,66236
75063,"$200,000 or more",1183,9170,10959,9519,462778,123151
,,,,,,,
75065,,5084,7487,13099,5118,200039,32521
75065,"$1 under $25,000",1767,387,544,186,5039,448
75065,"$25,000 under $50,000",1197,930,1621,503,22615,2351
75065,"$50,000 under $75,000",732,1268,2392,670,29097,3595
75065,"$75,000 under $100,000",559,1331,2529,938,33985,4540
75065,"$100,000 under $200,000",695,2706,4614,1856,70290,12154
75065,"$200,000 or more",134,865,1399,965,39013,9433
,,,,,,,
75067,,30486,20043,40152,19659,867471,130435
75067,"$1 under $25,000",12144,1064,2017,738,37164,2935
75067,"$25,000 under $50,000",9239,3163,6683,2809,181418,18794
75067,"$50,000 under $75,000",4104,4194,8882,3613,170540,22554
75067,"$75,000 under $100,000",2272,3825,7876,3504,142873,20292
75067,"$100,000 under $200,000",2437,6545,12601,7268,250033,43809
75067,"$200,000 or more",290,1252,2093,1727,85443,22051
,,,,,,,
75068,,17010,30048,59287,18472,692654,105327
75068,"$1 under $25,000",4837,1400,2210,462,11337,915
75068,"$25,000 under $50,000",3877,4158,8175,2079,70900,6681
75068,"$50,000 under $75,000",3165,6340,12955,3422,121822,14170
75068,"$75,000 under $100,000",2278,5961,12462,3407,135497,16995
75068,"$100,000 under $200,000",2549,9849,19711,6757,252867,42587
75068,"$200,000 or more",304,2340,3774,2345,100231,23979
,,,,,,,
75069,,15726,24449,35022,22302,705491,141391
75069,"$1 under $25,000",6961,1104,1439,544,15841,1329
75069,"$25,000 under $50,000",3787,1896,2928,1350,63821,6235
75069,"$50,000 under $75,000",1619,2602,4035,1873,64165,8163
75069,"$75,000 under $100,000",964,2643,3996,1778,58694,8206
75069,"$100,000 under $200,000",1609,7674,11593,6130,165122,28652
75069,"$200,000 or more",786,8530,11031,10627,337848,88806
,,,,,,,
75070,,35646,96969,164018,70062,2373125,456700
75070,"$1 under $25,000",8664,2896,4278,1037,23117,1958
75070,"$25,000 under $50,000",6001,7066,12176,3812,117719,11801
75070,"$50,000 under $75,000",5165,11267,20906,6546,201812,24447
75070,"$75,000 under $100,000",4780,14561,26793,8844,287146,38070
75070,"$100,000 under $200,000",8437,38762,66840,27124,868045,149471
75070,"$200,000 or more",2599,22417,33025,22699,875286,230953
,,,,,,,
75071,,16471,34343,64059,25631,860344,152787
75071,"$1 under $25,000",4743,1408,2190,611,12410,1037
75071,"$25,000 under $50,000",3283,3000,5633,2023,60731,5921
75071,"$50,000 under $75,000",2447,4722,9038,3007,96035,11550
75071,"$75,000 under $100,000",2067,5680,11094,3682,123754,15871
75071,"$100,000 under $200,000",3101,12812,24897,9081,315997,53881
75071,"$200,000 or more",830,6721,11207,7227,251417,64527
,,,,,,,
75074,,20325,16239,31978,15468,703718,119268
75074,"$1 under $25,000",8562,837,1780,468,20766,1655
75074,"$25,000 under $50,000",5212,1872,4148,1489,89970,8803
75074,"$50,000 under $75,000",2503,2797,6185,2137,101061,12889
75074,"$75,000 under $100,000",1548,2737,5228,2406,98247,13991
75074,"$100,000 under $200,000",2100,5980,11476,6313,221135,38893
75074,"$200,000 or more",400,2016,3161,2655,172539,43037
,,,,,,,
75075,,16530,20374,35056,21038,765586,132685
75075,"$1 under $25,000",5539,1175,1830,624,14464,1231
75075,"$25,000 under $50,000",3479,2110,3490,1549,68095,7143
75075,"$50,000 under $75,000",2245,3248,6299,2540,92533,12273
75075,"$75,000 under $100,000",1775,3613,6518,3254,111379,15790
75075,"$100,000 under $200,000",2907,7838,13557,8562,313143,55537
75075,"$200,000 or more",585,2390,3362,4509,165972,40711
,,,,,,,
75076,,3398,3213,5575,3237,142236,24221
75076,"$1 under $25,000",1336,280,443,124,3179,291
75076,"$25,000 under $50,000",795,403,763,275,14581,1557
75076,"$50,000 under $75,000",496,465,828,424,19805,2505
75076,"$75,000 under $100,000",323,525,856,443,19814,2763
75076,"$100,000 under $200,000",356,887,1618,896,35784,6114
75076,"$200,000 or more",92,653,1067,1075,49073,10991
,,,,,,,
75077,,16846,42629,68355,35406,1126860,219217
75077,"$1 under $25,000",4747,1229,1901,536,13152,1141
75077,"$25,000 under $50,000",2781,2970,4925,1701,55631,5900
75077,"$50,000 under $75,000",2172,4645,7916,3127,86497,10882
75077,"$75,000 under $100,000",1956,5604,9842,3861,118734,15963
75077,"$100,000 under $200,000",3845,17213,28805,13278,404428,70220
75077,"$200,000 or more",1345,10968,14966,12903,448418,115111
,,,,,,,
75078,,5470,23657,39500,20240,509258,110028
75078,"$1 under $25,000",1274,381,510,168,3238,284
75078,"$25,000 under $50,000",740,850,1272,401,13539,1320
75078,"$50,000 under $75,000",520,1458,2443,689,18896,2152
75078,"$75,000 under $100,000",558,2373,3878,1186,31604,3997
75078,"$100,000 under $200,000",1510,9562,16438,5596,156580,26937
75078,"$200,000 or more",868,9033,14959,12200,285401,75338
,,,,,,,
75080,,20333,28612,40331,29580,984291,176654
75080,"$1 under $25,000",6973,1435,1856,711,18802,1599
75080,"$25,000 under $50,000",4656,3180,4599,2043,90382,9434
75080,"$50,000 under $75,000",2957,3961,6470,2980,124206,16762
75080,"$75,000 under $100,000",1998,4055,6001,3460,127874,18604
75080,"$100,000 under $200,000",2868,9879,14224,9348,306119,54323
75080,"$200,000 or more",881,6102,7181,11038,316908,75932
,,,,,,,
75081,,17385,15863,24993,17706,641673,105202
75081,"$1 under $25,000",6382,1041,1620,602,17191,1415
75081,"$25,000 under $50,000",4255,2179,3756,1897,85320,8828
75081,"$50,000 under $75,000",2636,2996,5140,2560,111015,14835
75081,"$75,000 under $100,000",1663,2941,4930,2723,105785,15225
75081,"$100,000 under $200,000",2092,5127,7635,6689,219177,38746
75081,"$200,000 or more",357,1579,1912,3235,103185,26153
,,,,,,,
75082,,9962,26316,33749,23829,812008,164907
75082,"$1 under $25,000",2449,713,915,303,6795,601
75082,"$25,000 under $50,000",1600,1582,2057,818,34099,3771
75082,"$50,000 under $75,000",1244,2294,3286,1319,51813,6960
75082,"$75,000 under $100,000",1097,3205,4314,2256,68452,9774
75082,"$100,000 under $200,000",2478,11083,14752,8057,271881,48471
75082,"$200,000 or more",1094,7439,8425,11076,378968,95330
,,,,,,,
75087,,13708,31296,52504,28771,786808,140213
75087,"$1 under $25,000",3735,1144,1515,597,9400,832
75087,"$25,000 under $50,000",2353,2627,4436,1569,45393,4663
75087,"$50,000 under $75,000",1927,4234,7378,2842,74401,8997
75087,"$75,000 under $100,000",1835,5477,9789,3938,109397,14208
75087,"$100,000 under $200,000",3199,13579,23161,11253,327496,55792
75087,"$200,000 or more",659,4235,6225,8572,220721,55721
,,,,,,,
75088,,11690,17232,28273,16844,534400,92840
75088,"$1 under $25,000",3769,860,1446,374,10292,874
75088,"$25,000 under $50,000",2487,1984,3498,1396,48325,4888
75088,"$50,000 under $75,000",1795,2677,5185,2159,71934,8920
75088,"$75,000 under $100,000",1351,3002,5017,2815,82442,11180
75088,"$100,000 under $200,000",1909,6327,10194,6805,198992,34681
75088,"$200,000 or more",379,2382,2933,3295,122415,32297
,,,,,,,
75089,,13319,22915,43124,19010,562114,86882
75089,"$1 under $25,000",4110,903,1723,404,10394,889
75089,"$25,000 under $50,000",2611,2826,5560,1650,48157,4644
75089,"$50,000 under $75,000",2054,4400,7918,2681,79901,9437
75089,"$75,000 under $100,000",1773,4469,8902,3763,105820,13577
75089,"$100,000 under $200,000",2483,8821,16431,8224,248745,41973
75089,"$200,000 or more",288,1496,2590,2288,69097,16362
,,,,,,,
75090,,9339,3053,5904,4443,184120,27286
75090,"$1 under $25,000",4983,232,397,286,10908,923
75090,"$25,000 under $50,000",2426,461,963,637,38475,3599
75090,"$50,000 under $75,000",992,587,1387,639,38219,4474
75090,"$75,000 under $100,000",449,471,931,725,27306,3570
75090,"$100,000 under $200,000",417,937,1792,1357,41240,7024
75090,"$200,000 or more",72,365,434,799,27972,7696
,,,,,,,
75092,,9960,7995,12416,11970,344887,58123
75092,"$1 under $25,000",4048,516,799,418,11200,993
75092,"$25,000 under $50,000",2503,962,1746,1034,47298,4950
75092,"$50,000 under $75,000",1410,1191,2034,1472,57071,7029
75092,"$75,000 under $100,000",855,1269,2063,1791,52408,6941
75092,"$100,000 under $200,000",887,2181,3491,3465,90401,15492
75092,"$200,000 or more",257,1876,2283,3790,86509,22718
,,,,,,,
75093,,23341,91713,106591,79461,2840218,681136
75093,"$1 under $25,000",6036,2347,2872,695,17343,1465
75093,"$25,000 under $50,000",4244,3791,4982,1869,91493,9890
75093,"$50,000 under $75,000",2854,5391,8084,2988,120338,16626
75093,"$75,000 under $100,000",1985,6241,8119,3317,122749,18101
75093,"$100,000 under $200,000",4239,24042,30202,13992,461100,82654
75093,"$200,000 or more",3983,49901,52332,56600,2027195,552400
,,,,,,,
75094,,8552,28411,47309,20068,638999,123414
75094,"$1 under $25,000",2040,644,972,261,5131,428
75094,"$25,000 under $50,000",1091,1475,2436,585,19081,1856
75094,"$50,000 under $75,000",977,2849,4525,1447,36285,4213
75094,"$75,000 under $100,000",947,3611,6236,2106,54952,6932
75094,"$100,000 under $200,000",2637,13318,22643,9260,276300,47663
75094,"$200,000 or more",860,6514,10497,6409,247250,62322
,,,,,,,
75098,,21540,37948,67735,25412,861546,133082
75098,"$1 under $25,000",6758,1577,2865,659,17116,1476
75098,"$25,000 under $50,000",4789,4909,8627,2494,87183,8323
75098,"$50,000 under $75,000",3396,7105,13173,3808,131539,15359
75098,"$75,000 under $100,000",2801,8186,15146,4847,167796,21363
75098,"$100,000 under $200,000",3383,13536,24109,10386,333662,55677
75098,"$200,000 or more",413,2635,3815,3218,124250,30884
,,,,,,,
75102,,591,205,551,321,15872,2379
75102,"$1 under $25,000",254,50,184,0,646,57
75102,"$25,000 under $50,000",161,0,0,130,2794,261
75102,"$50,000 under $75,000",86,74,173,0,3236,358
75102,"$75,000 under $100,000",50,0,0,191,3164,417
75102,"$100,000 under $200,000",40,81,194,0,6032,1286
75102,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75103,,5316,3616,7248,4942,159999,23907
75103,"$1 under $25,000",2232,324,569,226,4802,428
75103,"$25,000 under $50,000",1239,507,956,686,21868,2198
75103,"$50,000 under $75,000",782,622,1342,700,29731,3451
75103,"$75,000 under $100,000",506,699,1544,863,30543,3931
75103,"$100,000 under $200,000",462,1115,2270,1493,47426,8036
75103,"$200,000 or more",95,349,567,974,25629,5863
,,,,,,,
75104,,21106,27933,53520,37711,684154,106635
75104,"$1 under $25,000",7645,1546,2957,1392,19886,1440
75104,"$25,000 under $50,000",5928,5009,10496,6076,107453,9627
75104,"$50,000 under $75,000",3279,5540,11380,7578,125850,15262
75104,"$75,000 under $100,000",1781,4165,8128,6118,105516,14153
75104,"$100,000 under $200,000",2054,7841,14784,10323,198551,33625
75104,"$200,000 or more",419,3832,5775,6224,126898,32528
,,,,,,,
75105,,144,71,144,55,3493,455
75105,"$1 under $25,000",58,0,144,0,128,0
75105,"$25,000 under $50,000",37,71,0,55,590,67
75105,"$50,000 under $75,000",49,0,0,0,2775,388
75105,"$75,000 under $100,000",0,0,0,0,0,0
75105,"$100,000 under $200,000",0,0,0,0,0,0
